year,days,max
1976,five,243
1976,four,243
1976,one,243
1976,three,243
1976,two,243
1977,five,243
1977,four,243
1977,one,243
1977,three,243
1977,two,243
1978,five,243
1978,four,243
1978,one,243
1978,three,243
1978,two,243
1979,five,244
1979,four,243
1979,one,243
1979,three,243
1979,two,243
1980,five,245
1980,four,244
1980,one,243
1980,three,243
1980,two,243
1981,five,246
1981,four,245
1981,one,243
1981,three,244
1981,two,243
1982,five,243
1982,four,243
1982,one,243
1982,three,243
1982,two,243
1983,five,253
1983,four,252
1983,one,245
1983,three,247
1983,two,246
1984,five,243
1984,four,243
1984,one,243
1984,three,243
1984,two,243
1985,five,252
1985,four,251
1985,one,243
1985,three,245
1985,two,244
1986,five,259
1986,four,250
1986,one,247
1986,three,249
1986,two,248
1987,five,249
1987,four,248
1987,one,243
1987,three,247
1987,two,246
1988,five,253
1988,four,246
1988,one,243
1988,three,245
1988,two,244
1989,five,247
1989,four,246
1989,one,243
1989,three,245
1989,two,244
1990,five,258
1990,four,257
1990,one,244
1990,three,256
1990,two,255
1991,five,252
1991,four,251
1991,one,243
1991,three,250
1991,two,244
1992,five,243
1992,four,243
1992,one,243
1992,three,243
1992,two,243
1993,five,243
1993,four,243
1993,one,243
1993,three,243
1993,two,243
1994,five,253
1994,four,247
1994,one,244
1994,three,246
1994,two,245
1995,five,256
1995,four,243
1995,one,243
1995,three,243
1995,two,243
1996,five,243
1996,four,243
1996,one,243
1996,three,243
1996,two,243
1997,five,248
1997,four,247
1997,one,244
1997,three,246
1997,two,245
1998,five,243
1998,four,243
1998,one,243
1998,three,243
1998,two,243
1999,five,254
1999,four,253
1999,one,250
1999,three,252
1999,two,251
2000,five,250
2000,four,249
2000,one,244
2000,three,248
2000,two,247
2001,five,243
2001,four,243
2001,one,243
2001,three,243
2001,two,243
2002,five,245
2002,four,244
2002,one,243
2002,three,243
2002,two,243
2003,five,243
2003,four,243
2003,one,243
2003,three,243
2003,two,243
2004,five,257
2004,four,256
2004,one,250
2004,three,255
2004,two,254
2005,five,253
2005,four,252
2005,one,247
2005,three,251
2005,two,250
2006,five,259
2006,four,258
2006,one,245
2006,three,249
2006,two,248
2007,five,252
2007,four,251
2007,one,248
2007,three,250
2007,two,249
2008,five,243
2008,four,243
2008,one,243
2008,three,243
2008,two,243
2009,five,243
2009,four,243
2009,one,243
2009,three,243
2009,two,243
2010,five,243
2010,four,243
2010,one,243
2010,three,243
2010,two,243
2011,five,243
2011,four,243
2011,one,243
2011,three,243
2011,two,243
2012,five,243
2012,four,243
2012,one,243
2012,three,243
2012,two,243
2013,five,243
2013,four,243
2013,one,243
2013,three,243
2013,two,243
2014,five,243
2014,four,243
2014,one,243
2014,three,243
2014,two,243
2015,five,250
2015,four,249
2015,one,246
2015,three,248
2015,two,247
2016,five,243
2016,four,243
2016,one,243
2016,three,243
2016,two,243
2017,five,252
2017,four,246
2017,one,243
2017,three,245
2017,two,244
2018,five,243
2018,four,243
2018,one,243
2018,three,243
2018,two,243
2019,five,243
2019,four,243
2019,one,243
2019,three,243
2019,two,243
2020,five,245
2020,four,244
2020,one,243
2020,three,243
2020,two,243
2021,five,255
2021,four,254
2021,one,244
2021,three,248
2021,two,247
