days,median,l_25,u_75,max,date_median
one,248,248,248,248,2022-09-05
two,248,248,248,249,2022-09-05
three,248,248,248,250,2022-09-05
four,248,248,249,254,2022-09-05
five,248,248,250,255,2022-09-05
