bins,one,two,three,four,five
1% run missed,50.7,50.4,50.2,50,49.6
5% run missed,11.799999999999999,11.3,11,10.6,10.2
10% run missed,2.5,2.3,2.1,2,1.7999999999999998
20% run missed,0.1,0.1,0.1,0.1,0.1
30% run missed,0,0,0,0,0
40% run missed,0,0,0,0,0
50% run missed,0,0,0,0,0
