year,run_95
1976,229
1977,219
1978,232
1979,237
1980,238
1981,238
1982,241
1983,246
1984,255
1985,245
1986,249
1987,241
1988,246
1989,245
1990,249
1991,245
1992,246
1993,244
1994,248
1995,249
1996,239
1997,261
1998,248
1999,269
2000,246
2001,238
2002,249
2003,237
2004,252
2005,272
2006,263
2007,269
2008,235
2009,234
2010,235
2011,238
2012,230
2013,227
2014,232
2015,246
2016,233
2017,242
2018,231
2019,232
2020,241
2021,247
2022,225
