year,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1976,k,0.17088741613039984,0.005020055362667419,34.040942536458076,2.557496910257313e-71,0.16096605152857174,0.18080878073222795
1976,pop,71254.31594278703,277.3432330001636,256.91744908283016,8.266818556557019e-196,70706.18984941616,71802.4420361579
1976,t,213.2119629500159,0.19790563862857527,1077.3415271414635,1.2280645714683188e-286,212.8208330010927,213.6030928989391
1977,k,0.07018532301628852,0.0046354033881896945,15.141146765157503,1.4482168628050383e-28,0.060998104199082206,0.07937254183349483
1977,pop,95641.03528268563,1484.6283274423365,64.42086111037132,1.3488770820952106e-88,92698.55020335306,98583.52036201819
1977,t,178.51296738709524,1.0054349393734543,177.54800474542608,4.6300788160717486e-136,176.5202280242119,180.5057067499786
1978,k,0.08067383609108232,0.0017589758803290148,45.864094552559955,3.204945610118281e-86,0.07719624628409073,0.08415142589807391
1978,pop,35991.541741260044,158.28884422747188,227.37889026176563,1.0725371727455506e-181,35678.596192999896,36304.48728952019
1978,t,204.298077897282,0.3136546553756961,651.3471883673253,1.2982172424815461e-245,203.67796579418373,204.9181900003803
1979,k,0.13619076758237614,0.006524122909173588,20.874954300888156,2.163763468207226e-44,0.12328976330884153,0.14909177185591074
1979,pop,96693.7567713065,727.594593408679,132.89510071578425,1.1199336561637118e-146,95254.9885123935,98132.52503021949
1979,t,217.17031603482695,0.4071485180954496,533.3933598744298,3.7879614324332105e-229,216.3652078471,217.9754242225539
1980,k,0.1145682977980731,0.0024282709673189183,47.1810186507189,7.954893057157852e-75,0.10975603469943047,0.11938056089671571
1980,pop,100488.32838266014,475.9231430548592,211.14402577198678,2.4822674991600367e-145,99545.16042079071,101431.49634452957
1980,t,220.20056211954864,0.21888448565373236,1006.0126530296819,7.37739096233233e-220,219.76678444508266,220.6343397940146
1981,k,0.09596620113130579,0.001806712613103895,53.1164726671376,3.4309752634780585e-86,0.09238963306194507,0.0995427692006665
1981,pop,85168.92971370445,352.37846225259847,241.6973193232567,2.0503756671641362e-165,84471.3613526479,85866.498074761
1981,t,213.28403815729786,0.23141204257725803,921.6635218372093,2.781079299367932e-236,212.82593490593158,213.74214140866414
1982,k,0.07506692931507217,0.002716333659668006,27.6353860461483,1.9137360632939154e-49,0.06967972216261134,0.080454136467533
1982,pop,106664.71218255653,1331.6673543606635,80.09861609453247,1.3470455668358223e-94,104023.6640658877,109305.76029922535
1982,t,204.55869987273246,0.6196187078556401,330.13641660475963,1.2859825731006524e-157,203.3298323060115,205.78756743945343
1983,k,0.08074354122668556,0.0018808114124304273,42.930163382168615,3.2539407230566553e-83,0.07702553254964296,0.08446154990372816
1983,pop,79345.09262762903,367.1576147004288,216.10635174315607,1.0513594801765272e-180,78619.2914184932,80070.89383676485
1983,t,202.3666009387078,0.3344887682809389,605.0026790996433,4.131335658766167e-244,201.7053798643233,203.02782201309228
1984,k,0.05829848341313356,0.0014902726923664753,39.119339508636244,7.893509438316677e-63,0.05534218327042806,0.06125478355583906
1984,pop,104516.18190179249,1291.1408589771022,80.94870608044636,1.1363730213924215e-93,101954.90575065688,107077.4580529281
1984,t,208.1501099788999,0.6468333733288555,321.7986556687369,6.757003293608003e-154,206.8669665624811,209.4332533953187
1985,k,0.11267231227487205,0.0021471737969033836,52.47470532537519,2.0666130772358255e-94,0.10842749678420341,0.1169171277655407
1985,pop,69199.35869099136,238.4586038656496,290.1944302667271,1.1388997709112768e-197,68727.9423682736,69670.77501370912
1985,t,218.97303608099438,0.19701026597242305,1111.4803332717981,7.428252920000845e-280,218.58356028260928,219.36251187937947
1986,k,0.10781269321256229,0.0011440866772076696,94.23472483369596,1.5679633559466246e-128,0.10555077239177875,0.11007461403334583
1986,pop,88113.0185893137,179.61110191434292,490.5766829008992,2.1904920565442467e-228,87757.91779218224,88468.11938644515
1986,t,222.29510361443926,0.11505312901903726,1932.1082834492681,1.026895422265e-311,222.06763739775397,222.52256983112454
1987,k,0.060679339530669604,0.0015854022555909556,38.273781506669735,1.0775385342248011e-76,0.05754529892248708,0.06381338013885213
1987,pop,97045.94797500834,662.1383115656769,146.56446588256728,7.2390030745085e-157,95737.02568139981,98354.87026861687
1987,t,209.10314449493862,0.508313384991351,411.3665912978005,2.4620625531900858e-220,208.098305007277,210.10798398260025
1988,k,0.055973327440902984,0.00223698717793249,25.021747103904143,9.564895455234229e-53,0.05154954934015845,0.06039710554164752
1988,pop,83212.99604972421,895.4813541885313,92.92543687314438,6.173928787916487e-125,81442.12724754111,84983.86485190732
1988,t,208.02876583691497,0.8189582585734186,254.01632337072945,6.195942704309467e-184,206.40922610712119,209.64830556670876
1989,k,0.0489875832885318,0.0027306361679993443,17.939989172714846,2.530409697049907e-38,0.04358963169201921,0.054385534885044384
1989,pop,55107.58654387434,745.2053793498951,73.94952864128449,2.908711716218804e-115,53634.45635746113,56580.71673028755
1989,t,192.70168262777918,1.1640212887447419,165.54824597373556,2.465851066116463e-164,190.4006325473659,195.00273270819247
1990,k,0.04647256460781444,0.0021215779743180186,21.90471675817291,1.5453971884661795e-47,0.04227885797868032,0.05066627123694856
1990,pop,83434.95745253118,1537.10909579403,54.28043961279852,2.597316528059562e-97,80396.5658955082,86473.34900955415
1990,t,224.22758900109716,1.3290974464811884,168.7066584882426,1.975067417294183e-166,221.6003724483494,226.85480555384493
1991,k,0.08869411577082952,0.0023656789259768464,37.492034441743,1.859980817055093e-68,0.08401063035945794,0.09337760118220109
1991,pop,92091.6712257024,581.5443042043721,158.3571029067093,3.859890833068703e-142,90940.35088594719,93242.99156545762
1991,t,210.47333029707673,0.35722953077526987,589.1823384262253,4.558966603430849e-211,209.76610021715106,211.1805603770024
1992,k,0.054313634648754154,0.0021903940622204545,24.796284643729873,9.589253245336065e-48,0.049974480881963386,0.05865278841554492
1992,pop,80706.37648983997,1194.141465405147,67.58527262300366,8.090995412484695e-94,78340.79144417877,83071.96153550116
1992,t,202.01592798700185,0.9341518931649576,216.25597449956544,7.413043957112806e-151,200.1653802815025,203.86647569250118
1993,k,0.0685138796459835,0.0011120294215938163,61.6115709850428,5.018089300627326e-91,0.06631156364832273,0.07071619564364427
1993,pop,53085.95036820831,260.983820226705,203.40705535728196,5.079585372772826e-151,52569.08558814511,53602.815148271504
1993,t,205.06434868799255,0.2907937902912065,705.1881970472518,3.964391023737472e-214,204.48844682429828,205.64025055168682
1994,k,0.059719517839530126,0.0022943864840956232,26.0285345357017,7.862926231053173e-49,0.05517258236155566,0.0642664533175046
1994,pop,36838.07638433386,499.45897290632627,73.755960714801,1.679808454935333e-95,35848.2659319786,37827.88683668911
1994,t,202.0109301399008,0.8073454272535573,250.21623126931598,1.998001755426875e-153,200.41096100148138,203.61089927832023
1995,k,0.08134926787810991,0.0030653483389750298,26.53834373202457,1.0055097689389267e-45,0.07526378201206582,0.08743475374415399
1995,pop,7227.230719162136,105.22592828679706,68.68298371732163,8.832205182462185e-83,7018.330839435975,7436.130598888297
1995,t,208.93248158798255,0.6250261470274094,334.2779859397149,1.1122893849708506e-147,207.6916478023792,210.1733153735859
1996,k,0.10328192896731535,0.0017548871965226834,58.85388483770862,1.4885263974568152e-76,0.09979803739937974,0.10676582053525095
1996,pop,50011.24033881191,235.21448687169777,212.61972850376134,4.8821364304471745e-129,49544.28054271085,50478.20013491298
1996,t,204.69175337765301,0.20065300433822214,1020.1280267532059,1.0708987774321875e-193,204.29340679943417,205.09009995587186
1997,k,0.04827249298930025,0.0017630632507547495,27.379898576318965,7.274221171307118e-47,0.044772369901495725,0.05177261607710478
1997,pop,48944.48447159977,1112.0215057682865,44.01397294720881,5.435935760785312e-65,46736.842661353585,51152.12628184595
1997,t,206.3984015350771,1.2677704149205673,162.80424208196175,4.704551164096637e-118,203.88155904664148,208.91524402351274
