% Chance,one,two,three,four,five
99,94,94,94,96.3,96.7
95,94.7,94.7,94.7,97,97.3
90,95.5,95.5,95.5,97.9,98.1
80,97.6,97.7,97.7,98.2,98.3
70,98.2,98.3,98.4,98.4,98.4
60,98.4,98.4,98.5,98.6,98.7
50,98.9,98.9,98.9,99,99.1
