year,total_count,fitted
1976,71291,71292
1977,97368,107124
1978,35454,36171
1979,96122,96157
1980,98673,98980
1981,84047,84621
1982,103038,106894
1983,80141,81707
1984,100781,109946
1985,69141,69191
1986,88024,88093
1987,94208,97518
1988,81274,86571
1989,54900,62096
1990,76119,79057
1991,92375,93310
1992,77601,84410
1993,52080,53953
1994,37007,39623
1995,7177,7450
1996,50741,51375
1997,44254,52190
1998,12335,12924
1999,19284,22179
2000,43555,45712
2001,76283,77162
2002,58361,61770
2003,75065,75410
2004,77660,81245
2005,51178,61618
2006,96203,106248
2007,72678,84353
2008,33117,33118
2009,33705,34065
2010,71657,71701
2011,65915,67445
2012,118166,118980
2013,46329,46329
2014,105713,105819
2015,71515,73445
2016,86721,87654
2017,43098,43784
2018,85463,85467
2019,140378,140441
2020,60218,60638
2021,98640,100626
