% Chance,one,two,three,four,five
99,97.2,97.2,97.3,97.3,97.5
95,97.3,97.3,97.5,97.5,97.6
90,97.5,97.5,97.6,97.7,97.7
80,97.8,97.8,97.9,98,98.1
70,98.4,98.4,98.4,98.5,98.6
60,98.7,98.7,98.7,98.7,98.8
50,99,99,99,99,99
