year,days,diff
1988,one,0.006681608660718097
1989,one,0.007270719248999136
1990,one,0.03930881379810869
1991,one,0.004374464066014605
1992,one,0.039882830103650346
1993,one,0.024025170479976876
1994,one,0.04033160410944969
1995,one,0.011819201528810552
1996,one,0.0095923978006216
1997,one,0.03839362005126745
1998,one,0.010356954457534706
1999,one,0.021980715803235795
2000,one,0.020340858316134414
2001,one,0.053811435553449916
2002,one,0.006880047861202554
2003,one,0.03600470886534457
2004,one,0.028463554912164013
2005,one,0.02799107357105146
2006,one,0.03649334876203769
2007,one,0.06232886941803151
2008,one,0.0018627032480887928
2009,one,0.02515748070306878
2010,one,0.006344253770150798
2011,one,0.009869719699960533
2012,one,0.059131779724598044
2013,one,0.015489910885021718
2014,one,0.054299655918940704
2015,one,0.017246202857220228
2016,one,0.006294388905718762
2017,one,0.04965491479597284
2018,one,0.01099010228739783
2019,one,0.055228345964202674
2020,one,0.016329639889196668
2021,one,0.026183325578444272
1988,two,0.006681608660718097
1989,two,0.007270719248999136
1990,two,0.03930881379810869
1991,two,0.004374464066014605
1992,two,0.039882830103650346
1993,two,0.024025170479976876
1994,two,0.04033160410944969
1995,two,0.011819201528810552
1996,two,0.0095923978006216
1997,two,0.03839362005126745
1998,two,0.010356954457534706
1999,two,0.021980715803235795
2000,two,0.020340858316134414
2001,two,0.053811435553449916
2002,two,0.006880047861202554
2003,two,0.03600470886534457
2004,two,0.028463554912164013
2005,two,0.02799107357105146
2006,two,0.03649334876203769
2007,two,0.06232886941803151
2008,two,0.0018627032480887928
2009,two,0.02515748070306878
2010,two,0.006344253770150798
2011,two,0.009869719699960533
2012,two,0.059131779724598044
2013,two,0.015489910885021718
2014,two,0.054299655918940704
2015,two,0.017246202857220228
2016,two,0.006294388905718762
2017,two,0.04965491479597284
2018,two,0.01099010228739783
2019,two,0.055228345964202674
2020,two,0.016329639889196668
2021,two,0.026183325578444272
1988,three,0.006681608660718097
1989,three,0.007270719248999136
1990,three,0.03930881379810869
1991,three,0.004374464066014605
1992,three,0.039882830103650346
1993,three,0.024025170479976876
1994,three,0.04033160410944969
1995,three,0.011819201528810552
1996,three,0.0095923978006216
1997,three,0.03839362005126745
1998,three,0.010356954457534706
1999,three,0.021980715803235795
2000,three,0.020340858316134414
2001,three,0.053811435553449916
2002,three,0.006880047861202554
2003,three,0.03600470886534457
2004,three,0.028463554912164013
2005,three,0.02799107357105146
2006,three,0.03649334876203769
2007,three,0.06232886941803151
2008,three,0.0018627032480887928
2009,three,0.02515748070306878
2010,three,0.006344253770150798
2011,three,0.009869719699960533
2012,three,0.059131779724598044
2013,three,0.015489910885021718
2014,three,0.054299655918940704
2015,three,0.017246202857220228
2016,three,0.006294388905718762
2017,three,0.04965491479597284
2018,three,0.01099010228739783
2019,three,0.055228345964202674
2020,three,0.016329639889196668
2021,three,0.026183325578444272
1988,four,0.006681608660718097
1989,four,0.007270719248999136
1990,four,0.03930881379810869
1991,four,0.004374464066014605
1992,four,0.039882830103650346
1993,four,0.024025170479976876
1994,four,0.04033160410944969
1995,four,0.011819201528810552
1996,four,0.0095923978006216
1997,four,0.03839362005126745
1998,four,0.010356954457534706
1999,four,0.021980715803235795
2000,four,0.020340858316134414
2001,four,0.053811435553449916
2002,four,0.006880047861202554
2003,four,0.03600470886534457
2004,four,0.028463554912164013
2005,four,0.02799107357105146
2006,four,0.03649334876203769
2007,four,0.06232886941803151
2008,four,0.0018627032480887928
2009,four,0.02515748070306878
2010,four,0.006344253770150798
2011,four,0.009869719699960533
2012,four,0.059131779724598044
2013,four,0.015489910885021718
2014,four,0.054299655918940704
2015,four,0.017246202857220228
2016,four,0.006294388905718762
2017,four,0.04965491479597284
2018,four,0.01099010228739783
2019,four,0.055228345964202674
2020,four,0.016329639889196668
2021,four,0.026183325578444272
1988,five,0.006681608660718097
1989,five,0.007270719248999136
1990,five,0.03930881379810869
1991,five,0.004374464066014605
1992,five,0.039882830103650346
1993,five,0.024025170479976876
1994,five,0.04033160410944969
1995,five,0.011819201528810552
1996,five,0.0095923978006216
1997,five,0.03839362005126745
1998,five,0.010356954457534706
1999,five,0.021980715803235795
2000,five,0.020340858316134414
2001,five,0.053811435553449916
2002,five,0.006880047861202554
2003,five,0.03600470886534457
2004,five,0.028463554912164013
2005,five,0.02799107357105146
2006,five,0.03649334876203769
2007,five,0.06232886941803151
2008,five,0.0018627032480887928
2009,five,0.02515748070306878
2010,five,0.006344253770150798
2011,five,0.009869719699960533
2012,five,0.059131779724598044
2013,five,0.015489910885021718
2014,five,0.054299655918940704
2015,five,0.017246202857220228
2016,five,0.006294388905718762
2017,five,0.04965491479597284
2018,five,0.01099010228739783
2019,five,0.055228345964202674
2020,five,0.016329639889196668
2021,five,0.026183325578444272
