year,days,max
1988,five,244
1988,four,244
1988,one,244
1988,three,244
1988,two,244
1989,five,244
1989,four,244
1989,one,244
1989,three,244
1989,two,244
1990,five,244
1990,four,244
1990,one,244
1990,three,244
1990,two,244
1991,five,244
1991,four,244
1991,one,244
1991,three,244
1991,two,244
1992,five,244
1992,four,244
1992,one,244
1992,three,244
1992,two,244
1993,five,244
1993,four,244
1993,one,244
1993,three,244
1993,two,244
1994,five,244
1994,four,244
1994,one,244
1994,three,244
1994,two,244
1995,five,244
1995,four,244
1995,one,244
1995,three,244
1995,two,244
1996,five,244
1996,four,244
1996,one,244
1996,three,244
1996,two,244
1997,five,244
1997,four,244
1997,one,244
1997,three,244
1997,two,244
1998,five,244
1998,four,244
1998,one,244
1998,three,244
1998,two,244
1999,five,244
1999,four,244
1999,one,244
1999,three,244
1999,two,244
2000,five,244
2000,four,244
2000,one,244
2000,three,244
2000,two,244
2001,five,244
2001,four,244
2001,one,244
2001,three,244
2001,two,244
2002,five,244
2002,four,244
2002,one,244
2002,three,244
2002,two,244
2003,five,244
2003,four,244
2003,one,244
2003,three,244
2003,two,244
2004,five,244
2004,four,244
2004,one,244
2004,three,244
2004,two,244
2005,five,244
2005,four,244
2005,one,244
2005,three,244
2005,two,244
2006,five,244
2006,four,244
2006,one,244
2006,three,244
2006,two,244
2007,five,244
2007,four,244
2007,one,244
2007,three,244
2007,two,244
2008,five,244
2008,four,244
2008,one,244
2008,three,244
2008,two,244
2009,five,244
2009,four,244
2009,one,244
2009,three,244
2009,two,244
2010,five,244
2010,four,244
2010,one,244
2010,three,244
2010,two,244
2011,five,244
2011,four,244
2011,one,244
2011,three,244
2011,two,244
2012,five,244
2012,four,244
2012,one,244
2012,three,244
2012,two,244
2013,five,244
2013,four,244
2013,one,244
2013,three,244
2013,two,244
2014,five,244
2014,four,244
2014,one,244
2014,three,244
2014,two,244
2015,five,244
2015,four,244
2015,one,244
2015,three,244
2015,two,244
2016,five,244
2016,four,244
2016,one,244
2016,three,244
2016,two,244
2017,five,244
2017,four,244
2017,one,244
2017,three,244
2017,two,244
2018,five,244
2018,four,244
2018,one,244
2018,three,244
2018,two,244
2019,five,244
2019,four,244
2019,one,244
2019,three,244
2019,two,244
2020,five,244
2020,four,244
2020,one,244
2020,three,244
2020,two,244
2021,five,244
2021,four,244
2021,one,244
2021,three,244
2021,two,244
