year,count,fitted
1988,46404,47294
1989,84383,86924
1990,61375,93694
1991,69737,80467
1992,76733,102074
1993,62110,75962
1994,72474,98310
1995,42463,48142
1996,61269,66928
1997,42050,52665
1998,50546,56870
1999,61544,73428
2000,41554,46999
2001,60334,80206
2002,68773,73546
2003,89720,110430
2004,43278,51118
2005,66476,83348
2006,90351,104567
2007,61799,80348
2008,22520,25769
2009,83959,101441
2010,53499,57690
2011,89943,98787
2012,62459,86637
2013,118767,135443
2014,102994,147349
2015,95093,110807
2016,56738,59418
2017,91092,112436
2018,26704,30209
2019,72530,95929
2020,63343,72200
2021,118209,141846
