bins,one,two,three,four,five
1% run missed,96.3,96.39999999999999,96.5,96.6,96.7
5% run missed,34.599999999999994,33.7,32.9,31.5,29.799999999999997
10% run missed,4,3.6999999999999997,3.3000000000000003,2.8000000000000003,2.3
20% run missed,0,0,0,0,0
30% run missed,0,0,0,0,0
40% run missed,0,0,0,0,0
50% run missed,0,0,0,0,0
