days,median,l_25,u_75,max,date_median
one,244,244,244,244,2022-09-01
two,244,244,244,244,2022-09-01
three,244,244,244,244,2022-09-01
four,244,244,244,244,2022-09-01
five,244,244,244,244,2022-09-01
