% Chance,one,two,three,four,five
99,89.8,89.8,90.6,90.6,91
95,90.5,90.5,91,91,91.4
90,91,91,91.1,91.3,91.5
80,91.7,91.8,91.8,92,92.3
70,92.3,92.6,92.7,93.6,93.6
60,94.3,94.3,94.3,94.3,94.5
50,94.7,94.7,94.7,94.7,95.1
