year,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1988,k,0.08223428213788345,0.003300830828391163,24.913207132752312,2.002213325666912e-37,0.07565573578385124,0.08881282849191566
1988,pop,48108.29630199561,594.0087961312207,80.98919850232006,3.1030702705287466e-73,46924.438478552795,49292.15412543842
1988,t,188.2469456941494,0.31222262227013975,602.9253880626089,1.0415845519598893e-136,187.6246869053272,188.86920448297158
1989,k,0.06909969589411459,0.001750563392236821,39.47283268949257,1.1459472232378748e-54,0.06561662385423667,0.07258276793399251
1989,pop,86967.13477859234,763.5860219374792,113.89304188403939,3.59381858684886e-91,85447.83811396048,88486.43144322421
1989,t,181.00830147356598,0.23347528431190864,775.2782141674148,1.554514670877799e-158,180.54375889350536,181.4728440536266
1990,k,0.046002758765269186,0.0031995306028405153,14.37797117002986,9.252407792471364e-24,0.03963425240420755,0.05237126512633082
1990,pop,100881.5494495928,7271.749514568438,13.873078170182254,7.063237473230595e-23,86407.49409957921,115355.60479960639
1990,t,192.85500452134255,1.7465470008421804,110.42073555899061,2.4980370219669193e-88,189.37858967633943,196.33141936634567
1991,k,0.0861418634910186,0.0027448153859906633,31.38348172000214,1.2546248024095294e-45,0.08067623778913502,0.09160748919290218
1991,pop,82893.05322161465,1473.5522515959829,56.25389471722798,2.6824951669845843e-64,79958.8358237897,85827.2706194396
1991,t,185.31521564107763,0.27868650941323936,664.9594055745634,1.6946411976653627e-146,184.76027990427306,185.8701513778822
1992,k,0.05073565393693962,0.0035876093082729283,14.141911668013739,5.25902072169898e-25,0.04361237155510489,0.057858936318774354
1992,pop,112104.02901323386,6627.816837884068,16.914171250547575,2.8630489057812502e-30,98944.34331321684,125263.71471325087
1992,t,195.79783600312192,1.3847190115967642,141.39896568426622,2.5974097945854054e-111,193.0484439451982,198.54722806104564
1993,k,0.049917809684473,0.002253012952407369,22.15602428345353,8.909461280855579e-29,0.04540079068017204,0.05443482868877396
1993,pop,73941.27023909506,2288.752979356612,32.306356739240854,5.31926404464937e-37,69352.59679500428,78529.94368318583
1993,t,187.08328658688035,0.7721150984737083,242.29973867458418,1.1033598810099439e-83,185.53528901785313,188.63128415590757
1994,k,0.0474346995365656,0.0013233689749618748,35.84389571920572,4.399643800057272e-48,0.04479722897297478,0.050072170100156424
1994,pop,105557.34689056315,2607.8600218114525,40.476615312060225,9.383338218183497e-52,100359.88936236987,110754.80441875642
1994,t,194.4686284900905,0.608710988524096,319.4761260374264,1.3960127255103268e-116,193.25546923946442,195.6817877407166
1995,k,0.0627016446897093,0.003011566436456628,20.82027609641024,3.9620155816615086e-35,0.05671384379286705,0.06868944558655156
1995,pop,46316.104264263355,1260.3441828374077,36.748774576792265,5.982974484948138e-54,43810.20237315213,48822.006155374576
1995,t,184.22414919105552,0.5825844072469087,316.21881207160135,2.641192437292053e-132,183.06581531072985,185.3824830713812
1996,k,0.07017737992541533,0.0015110822990056947,46.441798684024455,1.1283746763357643e-64,0.0671753511930726,0.07317940865775806
1996,pop,64965.832850030456,681.0796315073273,95.38654489821067,3.31444267713126e-92,63612.749285922946,66318.91641413797
1996,t,186.2806937007882,0.214462632748809,868.5927768077476,2.3375467351990583e-178,185.85462624837382,186.70676115320256
1997,k,0.04245340069418067,7.966366607389035e-4,53.29079464508188,5.901448011563757e-71,0.04087121152270549,0.044035589865655846
1997,pop,56861.59302181164,838.979027400722,67.77474902796683,2.528727376228632e-80,55195.3082552821,58527.87778834118
