year,run_95
1988,216
1989,219
1990,240
1991,219
1992,240
1993,235
1994,240
1995,227
1996,225
1997,240
1998,227
1999,234
2000,233
2001,243
2002,222
2003,239
2004,237
2005,236
2006,240
2007,244
2008,214
2009,235
2010,220
2011,226
2012,244
2013,229
2014,243
2015,232
2016,222
2017,242
2018,228
2019,243
2020,231
2021,236
