weir,stat_week,date,species,count_type,maturity,count,comments
Situk Lower,24,6/7/1988,Sockeye,Counted live,Adult,2,"fish tight 1030, no SH morts recorded for this season"
Situk Lower,24,6/7/1988,Steelhead trout,Counted live,Adult,5,"fish tight 1030, no SH morts recorded for this season"
Situk Lower,24,6/7/1988,Steelhead trout,Downstream migration,Adult,6,"fish tight 1030, no SH morts recorded for this season"
Situk Lower,24,6/8/1988,Steelhead trout,Counted live,Adult,1,
Situk Lower,24,6/8/1988,Steelhead trout,Downstream migration,Adult,13,
Situk Lower,24,6/9/1988,Steelhead trout,Counted live,Adult,8,
Situk Lower,24,6/9/1988,Steelhead trout,Downstream migration,Adult,3,
Situk Lower,24,6/10/1988,Sockeye,Counted live,Adult,1,
Situk Lower,24,6/10/1988,Steelhead trout,Counted live,Adult,7,
Situk Lower,24,6/10/1988,Steelhead trout,Downstream migration,Adult,79,
Situk Lower,24,6/11/1988,Chinook,Counted live,Adult,5,
Situk Lower,24,6/11/1988,Sockeye,Counted live,Adult,1,
Situk Lower,24,6/11/1988,Steelhead trout,Counted live,Adult,5,
Situk Lower,24,6/11/1988,Steelhead trout,Downstream migration,Adult,8,
Situk Lower,25,6/12/1988,Steelhead trout,Counted live,Adult,3,
Situk Lower,25,6/12/1988,Steelhead trout,Downstream migration,Adult,58,
Situk Lower,25,6/13/1988,Chinook,Counted live,Adult,9,
Situk Lower,25,6/13/1988,Steelhead trout,Counted live,Adult,5,
Situk Lower,25,6/13/1988,Steelhead trout,Downstream migration,Adult,56,
Situk Lower,25,6/14/1988,Steelhead trout,Counted live,Adult,1,
Situk Lower,25,6/14/1988,Steelhead trout,Downstream migration,Adult,24,
Situk Lower,25,6/15/1988,Chinook,Counted live,Adult,2,1 king tagged
Situk Lower,25,6/15/1988,Steelhead trout,Counted live,Adult,4,1 king tagged
Situk Lower,25,6/15/1988,Steelhead trout,Downstream migration,Adult,185,1 king tagged
Situk Lower,25,6/16/1988,Chinook,Counted live,Adult,1, 1 king tagged radio
Situk Lower,25,6/16/1988,Steelhead trout,Counted live,Adult,2, 1 king tagged radio
Situk Lower,25,6/16/1988,Steelhead trout,Downstream migration,Adult,130, 1 king tagged radio
