year,days,diff
2012,one,0.03783579053120456
2013,one,0.03538021829629834
2014,one,0.03538021989983853
2015,one,0.044513814567585075
2016,one,0.019810356374916238
2017,one,0.032519400485294
2018,one,0.044513816825383135
2019,one,0.012883706909584847
2020,one,0.03630915710567839
2021,one,0.012883708482968048
2012,two,0.0353802174897182
2013,two,0.0047939361103371825
2014,two,0.004793936689089229
2015,two,0.044513814567585075
2016,two,0.01288378159258341
2017,two,0.00479393760187552
2018,two,0.035380223498649666
2019,two,0.0047939381080204235
2020,two,0.03630915710567839
2021,two,0.004793938681904586
2012,three,NA
2013,three,NA
2014,three,NA
2015,three,0.044513814567585075
2016,three,0.004793965243751974
2017,three,NA
2018,three,NA
2019,three,NA
2020,three,0.03630915710567839
2021,three,NA
2012,four,NA
2013,four,NA
2014,four,NA
2015,four,0.044513814567585075
2016,four,NA
2017,four,NA
2018,four,NA
2019,four,NA
2020,four,0.03630915710567839
2021,four,NA
2012,five,NA
2013,five,NA
2014,five,NA
2015,five,0.035380221245456034
2016,five,NA
2017,five,NA
2018,five,NA
2019,five,NA
2020,five,0.035380224658338566
2021,five,NA
