year,days,max
2012,five,231
2012,four,230
2012,one,223
2012,three,229
2012,two,224
2013,five,231
2013,four,230
2013,one,223
2013,three,229
2013,two,224
2014,five,231
2014,four,230
2014,one,223
2014,three,229
2014,two,224
2015,five,231
2015,four,230
2015,one,223
2015,three,229
2015,two,224
2016,five,231
2016,four,225
2016,one,222
2016,three,224
2016,two,223
2017,five,231
2017,four,230
2017,one,223
2017,three,229
2017,two,224
2018,five,231
2018,four,230
2018,one,223
2018,three,229
2018,two,224
2019,five,231
2019,four,230
2019,one,223
2019,three,229
2019,two,224
2020,five,231
2020,four,230
2020,one,223
2020,three,229
2020,two,224
2021,five,231
2021,four,230
2021,one,223
2021,three,229
2021,two,224
