days,median,l_25,u_75,max,date_median
one,221,220,222,223,2022-08-09
two,223.5,221,224,224,2022-08-11
three,220,220,222,224,2022-08-08
four,220,220,220,220,2022-08-08
five,221,221,221,221,2022-08-09
