"","year","stream_name","count","imputed"
"1",2012,122,0,TRUE
"2",2013,122,0,TRUE
"3",2014,122,0,TRUE
"4",2015,122,0,TRUE
"5",2016,122,0,FALSE
"6",2017,122,0,TRUE
"7",2018,122,0,TRUE
"8",2019,122,0,TRUE
"9",2020,122,0,TRUE
"10",2021,122,0,FALSE
"11",2012,123,0,TRUE
"12",2013,123,0,TRUE
"13",2014,123,0,TRUE
"14",2015,123,0,TRUE
"15",2016,123,0,FALSE
"16",2017,123,0,TRUE
"17",2018,123,0,TRUE
"18",2019,123,0,TRUE
"19",2020,123,0,TRUE
"20",2021,123,0,FALSE
"21",2012,124,0,TRUE
"22",2013,124,0,TRUE
"23",2014,124,0,TRUE
"24",2015,124,0,TRUE
"25",2016,124,0,FALSE
"26",2017,124,0,TRUE
"27",2018,124,0,TRUE
"28",2019,124,0,TRUE
"29",2020,124,0,TRUE
"30",2021,124,0,FALSE
"31",2012,125,0,TRUE
"32",2013,125,0,TRUE
"33",2014,125,0,TRUE
"34",2015,125,0,TRUE
"35",2016,125,0,FALSE
"36",2017,125,0,TRUE
"37",2018,125,0,TRUE
"38",2019,125,0,FALSE
"39",2020,125,0,TRUE
"40",2021,125,0,FALSE
"41",2012,126,0,TRUE
"42",2013,126,0,TRUE
"43",2014,126,0,FALSE
"44",2015,126,0,TRUE
"45",2016,126,0,FALSE
"46",2017,126,0,FALSE
"47",2018,126,0,TRUE
"48",2019,126,0,FALSE
"49",2020,126,0,TRUE
"50",2021,126,0,FALSE
"51",2012,127,0,TRUE
"52",2013,127,0,TRUE
"53",2014,127,0,FALSE
"54",2015,127,0,FALSE
"55",2016,127,0,FALSE
"56",2017,127,0,FALSE
"57",2018,127,0,TRUE
"58",2019,127,0,FALSE
"59",2020,127,0,TRUE
"60",2021,127,0,FALSE
"61",2012,128,0,TRUE
"62",2013,128,0,TRUE
"63",2014,128,0,FALSE
"64",2015,128,0,FALSE
"65",2016,128,0,FALSE
"66",2017,128,0,FALSE
"67",2018,128,0,TRUE
"68",2019,128,0,FALSE
"69",2020,128,0,TRUE
"70",2021,128,0,FALSE
"71",2012,129,0,TRUE
"72",2013,129,0,TRUE
"73",2014,129,0,FALSE
"74",2015,129,0,FALSE
"75",2016,129,0,FALSE
"76",2017,129,0,FALSE
"77",2018,129,0,TRUE
"78",2019,129,0,FALSE
"79",2020,129,0,TRUE
"80",2021,129,0,FALSE
"81",2012,130,0.116308123384843,TRUE
"82",2013,130,0.233482629918011,TRUE
"83",2014,130,1,FALSE
"84",2015,130,0,FALSE
"85",2016,130,0,FALSE
"86",2017,130,0,FALSE
"87",2018,130,0.0502027811204264,TRUE
"88",2019,130,0,FALSE
"89",2020,130,0.117953676978764,TRUE
"90",2021,130,0,FALSE
"91",2012,131,0.232616246769687,TRUE
"92",2013,131,0.466965259836024,TRUE
"93",2014,131,2,FALSE
"94",2015,131,0,FALSE
"95",2016,131,0,FALSE
"96",2017,131,0,FALSE
"97",2018,131,0.100405562240853,TRUE
"98",2019,131,0,FALSE
"99",2020,131,0.235907353957527,TRUE
"100",2021,131,0,FALSE
"101",2012,132,0.116308123384844,TRUE
"102",2013,132,0.233482629918014,TRUE
"103",2014,132,1,FALSE
"104",2015,132,0,FALSE
"105",2016,132,0,FALSE
"106",2017,132,0,FALSE
"107",2018,132,0.0502027811204267,TRUE
"108",2019,132,0,FALSE
"109",2020,132,0.117953676978764,TRUE
"110",2021,132,0,FALSE
"111",2012,133,0,TRUE
"112",2013,133,0,TRUE
"113",2014,133,0,FALSE
"114",2015,133,0,FALSE
"115",2016,133,0,FALSE
"116",2017,133,0,FALSE
"117",2018,133,0,TRUE
"118",2019,133,0,FALSE
"119",2020,133,0,TRUE
"120",2021,133,0,FALSE
"121",2012,134,0.104036621368621,TRUE
"122",2013,134,0.208848215049925,TRUE
"123",2014,134,1,FALSE
"124",2015,134,0,FALSE
"125",2016,134,0,FALSE
"126",2017,134,0,FALSE
"127",2018,134,0.0449059582336126,TRUE
"128",2019,134,0,FALSE
"129",2020,134,0,FALSE
"130",2021,134,0,FALSE
"131",2012,135,0,TRUE
"132",2013,135,0,TRUE
"133",2014,135,0,FALSE
"134",2015,135,0,FALSE
"135",2016,135,0,FALSE
"136",2017,135,0,FALSE
"137",2018,135,0,TRUE
"138",2019,135,0,FALSE
"139",2020,135,0,FALSE
"140",2021,135,0,FALSE
"141",2012,136,0,TRUE
"142",2013,136,0,TRUE
"143",2014,136,0,FALSE
"144",2015,136,0,FALSE
"145",2016,136,0,FALSE
"146",2017,136,0,FALSE
"147",2018,136,0,TRUE
"148",2019,136,0,FALSE
"149",2020,136,0,FALSE
"150",2021,136,0,FALSE
"151",2012,137,0.208073242737243,TRUE
"152",2013,137,0.417696430099851,TRUE
"153",2014,137,2,FALSE
"154",2015,137,0,FALSE
"155",2016,137,0,FALSE
"156",2017,137,0,FALSE
"157",2018,137,0.0898119164672253,TRUE
"158",2019,137,0,FALSE
"159",2020,137,0,FALSE
"160",2021,137,0,FALSE
"161",2012,138,0,TRUE
"162",2013,138,0,TRUE
"163",2014,138,0,FALSE
"164",2015,138,0,FALSE
"165",2016,138,0,FALSE
"166",2017,138,0,FALSE
"167",2018,138,0,TRUE
"168",2019,138,0,FALSE
"169",2020,138,0,FALSE
"170",2021,138,0,FALSE
"171",2012,139,0,FALSE
"172",2013,139,0,TRUE
"173",2014,139,0,FALSE
"174",2015,139,0,FALSE
"175",2016,139,0,FALSE
"176",2017,139,0,FALSE
"177",2018,139,0,TRUE
