year,run_95
1988,214
1989,215
1990,221
1991,221
1992,221
1993,221
1994,221
1995,221
1996,221
1997,221
1998,221
1999,221
2000,221
2001,221
2002,221
2003,221
2004,221
2005,221
2006,224
2007,221
2008,221
2009,221
2010,221
2011,221
2012,221
2013,221
2014,221
2015,221
2016,220
2017,221
2018,221
2019,221
2020,221
2021,221
