year,count,fitted
1988,46404,47252.758102059975
1989,84383,84606.07446048867
1990,61375,75544.83058251426
1991,69737,87555.8622235102
1992,76733,83492.73205409103
1993,62110,70231.41580021173
1994,72474,80652.41574331393
1995,42463,47793.32831956067
1996,61269,65851.9869314925
1997,42050,45195.38844785579
1998,50546,55688.28098865532
1999,61544,66965.7034774258
2000,41554,43797.89742917624
2001,60334,64243.361794567296
2002,68773,73917.32241711147
2003,89720,95533.45210089428
2004,43278,45615.00646400925
2005,66476,78058.98168398193
2006,90351,90853.99298804936
2007,61799,62672.76979148167
2008,22520,30175.00600324405
2009,83959,92500.61633473716
2010,53499,59535.69678724425
2011,89943,96670.93710906491
2012,62459,66506.64562632996
2013,118767,132170.007933149
2014,102994,113472.2102935242
2015,95093,102206.21458724828
2016,56738,58469.005650177394
2017,91092,95328.13556639834
2018,26704,28701.874349801343
2019,72530,75902.93969386122
2020,63343,67447.58766873914
2021,118209,127255.63612613529
