% Chance,one,two,three,four,five
99,95.2,95.8,96.9,97.3,99.8
95,95.3,95.9,98,98.3,99.8
90,95.5,96,99.4,99.5,99.8
80,95.6,96,99.7,99.7,99.8
70,95.6,96,99.7,99.7,99.8
60,95.6,96,99.7,99.7,99.8
50,95.6,96,99.7,99.7,99.8
