year,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1957,k,0.3710042031213781,0.03531570628017141,10.505359858247678,4.8792475680204454e-11,0.29854235926466793,0.4434660469780883
1957,pop,394626.7600721277,6386.933896024934,61.78657341635137,1.293040146688899e-30,381521.8541975214,407731.66594673396
1957,t,190.35434595197938,0.192055884544808,991.1403985519037,4.072332897417606e-63,189.96027982720074,190.74841207675803
1958,k,0.3555409488226374,0.017301316737353568,20.549935835520774,1.2861993820087773e-19,0.3202546806964416,0.39082721694883327
1958,pop,243518.1406906629,1700.0110709092787,143.24503225759184,2.6335569228348308e-45,240050.94525252067,246985.33612880512
1958,t,186.0811178589694,0.10636511489048613,1749.4562766237702,5.480266866334577e-79,185.86418477692277,186.29805094101604
1959,k,0.1943322324129214,0.012090636980247328,16.07295237880396,2.756161387191545e-16,0.16963985752902513,0.2190246072968177
1959,pop,1088350.3274916091,18451.243832278036,58.98520107287741,1.3807187903031748e-32,1050667.8604284497,1126032.7945547686
1959,t,191.15680602110533,0.2090847939994997,914.2549410913293,3.0502386501504177e-68,190.72979790528873,191.58381413692192
1960,k,0.36831684309956014,0.016826224551983262,21.889452500867023,6.699025581013748e-17,0.3335091456254801,0.40312454057364017
1960,pop,1841733.1531496951,18559.94855362554,99.23158719046809,8.751702465293378e-32,1803338.9743252518,1880127.3319741385
1960,t,193.41548866035797,0.08597290064218403,2249.726218559799,5.987188876005562e-63,193.23764016515472,193.59333715556122
1961,k,0.25023109741664906,0.01014878449187718,24.656262788605613,6.22953112186726e-22,0.22953251498088623,0.2709296798524119
1961,pop,698797.8205845063,5149.1131200488835,135.7122681697605,1.4018244623147795e-44,688296.1351391504,709299.5060298621
1961,t,188.1470724203939,0.11839677602708289,1589.1232745844013,1.0786941625349085e-77,187.90560060367667,188.38854423711112
1962,k,0.302394742235799,0.021187284149225858,14.27246362044226,2.953020220478569e-11,0.2578819099938408,0.34690757447775716
1962,pop,1066583.6856136108,19495.652933253066,54.70879530248385,1.8131527888708243e-21,1025624.8386772496,1107542.532549972
1962,t,187.42440017459452,0.1528541567523947,1226.1648891773316,9.371375796421813e-46,187.10326550773095,187.7455348414581
1963,k,0.26549741234927793,0.01823552346571867,14.559352400735406,7.229829833469393e-15,0.22820157921738363,0.30279324548117226
1963,pop,997423.9223191362,13338.27306260487,74.7790900394377,1.0014302715319145e-34,970144.0908766366,1024703.7537616359
1963,t,189.96724757368014,0.18641246907429082,1019.069424470595,1.3604710567614472e-67,189.58599126626626,190.34850388109402
1964,k,0.4331788918191891,0.028266966516866346,15.324562384885542,3.774757473607675e-12,0.3740154509542336,0.4923423326841446
1964,pop,870946.2309585325,11956.702881523428,72.84167212220326,1.0133206816014849e-24,845920.5642160908,895971.8977009743
1964,t,191.89429937369638,0.10597805579121021,1810.6984313030966,3.2056163625607114e-51,191.67248475368595,192.11611399370682
1965,k,0.2659643168792564,0.012361779544510282,21.515050961846992,8.666355924812779e-16,0.2402565889930214,0.2916720447654914
