bins,one,two,three,four,five
1% run missed,45.7,41.699999999999996,38.1,33.800000000000004,30.2
5% run missed,4.3999999999999995,3.1,2.1999999999999997,1.7999999999999998,1.0999999999999999
10% run missed,0.3,0.1,0.1,0.1,0
20% run missed,0,0,0,0,0
30% run missed,0,0,0,0,0
40% run missed,0,0,0,0,0
50% run missed,0,0,0,0,0
