% Chance,one,two,three,four,five
99,94.9,94.9,94.9,94.9,94.9
95,95,95,95,95,95
90,95,95,95,95,95
80,95.3,95.3,95.3,95.3,95.3
70,95.7,95.7,95.7,95.7,95.7
60,95.9,95.9,95.9,95.9,95.9
50,96.6,96.6,96.6,96.6,96.6
