days,median,l_25,u_75,max,date_median
one,287,287,287,290,2022-10-14
two,287,287,287,291,2022-10-14
three,287,287,287,292,2022-10-14
four,287,287,287,293,2022-10-14
five,287,287,288,294,2022-10-14
