year,count,fitted
2012,107723,120205.4777395285
2013,110979,120907.11888523556
2014,70470,70544.24908506405
2015,135110,158414.50726153198
2016,85935,91066.54905449819
2017,88197,93118.31275873729
2018,108047,112780.4218474565
2019,134958,143087.53692175198
2020,50745.5263158,53122.42213942529
2021,64998,67401.57141455419
