year,days,max
2012,five,287
2012,four,287
2012,one,287
2012,three,287
2012,two,287
2013,five,287
2013,four,287
2013,one,287
2013,three,287
2013,two,287
2014,five,294
2014,four,293
2014,one,290
2014,three,292
2014,two,291
2015,five,287
2015,four,287
2015,one,287
2015,three,287
2015,two,287
2016,five,287
2016,four,287
2016,one,287
2016,three,287
2016,two,287
2017,five,288
2017,four,287
2017,one,287
2017,three,287
2017,two,287
2018,five,287
2018,four,287
2018,one,287
2018,three,287
2018,two,287
2019,five,287
2019,four,287
2019,one,287
2019,three,287
2019,two,287
2020,five,287
2020,four,287
2020,one,287
2020,three,287
2020,two,287
2021,five,290
2021,four,289
2021,one,287
2021,three,288
2021,two,287
