% Chance,one,two,three,four,five
99,94,95,95,95,95
95,94.4,95.1,95.1,95.1,95
90,94.9,95.2,95.1,95.1,95.1
80,95.2,95.2,95.2,95.2,95.3
70,95.2,95.2,95.2,95.2,95.4
60,95.2,95.2,95.2,95.2,95.6
50,95.2,95.2,95.2,95.2,95.8
