"","year","stream_name","count","imputed"
"1",2012,151,0,TRUE
"2",2013,151,0,TRUE
"3",2014,151,0,TRUE
"4",2015,151,0,TRUE
"5",2016,151,0,TRUE
"6",2017,151,0,TRUE
"7",2018,151,0,TRUE
"8",2019,151,0,TRUE
"9",2020,151,0,TRUE
"10",2021,151,0,TRUE
"11",2012,152,0,TRUE
"12",2013,152,0,TRUE
"13",2014,152,0,TRUE
"14",2015,152,0,TRUE
"15",2016,152,0,TRUE
"16",2017,152,0,TRUE
"17",2018,152,0,TRUE
"18",2019,152,0,TRUE
"19",2020,152,0,TRUE
"20",2021,152,0,TRUE
"21",2012,153,0,TRUE
"22",2013,153,0,TRUE
"23",2014,153,0,TRUE
"24",2015,153,0,TRUE
"25",2016,153,0,TRUE
"26",2017,153,0,TRUE
"27",2018,153,0,TRUE
"28",2019,153,0,TRUE
"29",2020,153,0,TRUE
"30",2021,153,0,TRUE
"31",2012,154,0,TRUE
"32",2013,154,0,TRUE
"33",2014,154,0,TRUE
"34",2015,154,0,TRUE
"35",2016,154,0,TRUE
"36",2017,154,0,TRUE
"37",2018,154,0,TRUE
"38",2019,154,0,TRUE
"39",2020,154,0,TRUE
"40",2021,154,0,TRUE
"41",2012,155,0,TRUE
"42",2013,155,0,TRUE
"43",2014,155,0,TRUE
"44",2015,155,0,TRUE
"45",2016,155,0,TRUE
"46",2017,155,0,TRUE
"47",2018,155,0,TRUE
"48",2019,155,0,TRUE
"49",2020,155,0,TRUE
"50",2021,155,0,TRUE
"51",2012,156,0,TRUE
"52",2013,156,0,TRUE
"53",2014,156,0,TRUE
"54",2015,156,0,TRUE
"55",2016,156,0,TRUE
"56",2017,156,0,TRUE
"57",2018,156,0,TRUE
"58",2019,156,0,TRUE
"59",2020,156,0,TRUE
"60",2021,156,0,TRUE
"61",2012,157,0,TRUE
"62",2013,157,0,TRUE
"63",2014,157,0,TRUE
"64",2015,157,0,TRUE
"65",2016,157,0,TRUE
"66",2017,157,0,TRUE
"67",2018,157,0,TRUE
"68",2019,157,0,TRUE
"69",2020,157,0,TRUE
"70",2021,157,0,TRUE
"71",2012,158,0,TRUE
"72",2013,158,0,TRUE
"73",2014,158,0,TRUE
"74",2015,158,0,TRUE
"75",2016,158,0,TRUE
"76",2017,158,0,TRUE
"77",2018,158,0,TRUE
"78",2019,158,0,TRUE
"79",2020,158,0,TRUE
"80",2021,158,0,TRUE
"81",2012,159,0,TRUE
"82",2013,159,0,TRUE
"83",2014,159,0,TRUE
"84",2015,159,0,TRUE
"85",2016,159,0,TRUE
"86",2017,159,0,TRUE
"87",2018,159,0,TRUE
"88",2019,159,0,TRUE
"89",2020,159,0,TRUE
"90",2021,159,0,TRUE
"91",2012,160,0,TRUE
"92",2013,160,0,TRUE
"93",2014,160,0,TRUE
"94",2015,160,0,TRUE
"95",2016,160,0,TRUE
"96",2017,160,0,TRUE
"97",2018,160,0,TRUE
"98",2019,160,0,TRUE
