days,year,diff
five,2012,0.04528021218821865
five,2013,0.04528022820457589
five,2014,0.020581282166418524
five,2015,0.04528025393387081
five,2016,0.045280275238433254
five,2017,0.0406505179802521
five,2018,0.04528029977443615
five,2019,0.04528031475940797
five,2020,0.04528033374436313
five,2021,0.03402918309003922
four,2012,0.04528021218821865
four,2013,0.04528022820457589
four,2014,0.02370018247964678
four,2015,0.04528025393387081
four,2016,0.045280275238433254
four,2017,0.0452802874008833
four,2018,0.04528029977443615
four,2019,0.04528031475940797
four,2020,0.04528033374436313
four,2021,0.036473048921762063
one,2012,0.04528021218821865
one,2013,0.04528022820457589
one,2014,0.034029086623820204
one,2015,0.04528025393387081
one,2016,0.045280275238433254
one,2017,0.0452802874008833
one,2018,0.04528029977443615
one,2019,0.04528031475940797
one,2020,0.04528033374436313
one,2021,0.04528034079236409
three,2012,0.04528021218821865
three,2013,0.04528022820457589
three,2014,0.027857623317093183
three,2015,0.04528025393387081
three,2016,0.045280275238433254
three,2017,0.0452802874008833
three,2018,0.04528029977443615
three,2019,0.04528031475940797
three,2020,0.04528033374436313
three,2021,0.04065057135838346
two,2012,0.04528021218821865
two,2013,0.04528022820457589
two,2014,0.03140357936238236
two,2015,0.04528025393387081
two,2016,0.045280275238433254
two,2017,0.0452802874008833
two,2018,0.04528029977443615
two,2019,0.04528031475940797
two,2020,0.04528033374436313
two,2021,0.04528034079236409
