year,run_95
1971,287
1972,282
1973,280
1974,284
1975,282
1976,280
1977,284
1978,277
1979,272
1980,284
1981,281
1982,284
1983,277
1984,284
1985,278
1986,278
1987,272
1988,271
1989,284
1990,281
1991,293
1992,278
1993,286
1994,284
1995,284
1999,288
2000,270
2001,285
2002,281
2003,284
2004,284
2005,284
2006,284
2007,283
2008,291
2009,284
2010,287
2011,277
2012,284
2013,284
2014,287
2015,284
2016,284
2017,284
2018,284
2019,284
2020,284
2021,284
