days,year,diff
five,1988,0.0026721834324626714
five,1989,0.010471879544068696
five,1990,0.022372254659911328
five,1991,0.008319802640687768
five,1992,0.05226326799077008
five,1993,0.025181510333198598
five,1994,0.007517703520567354
five,1995,0.01526015024720162
five,1996,0.014085154645495535
five,1997,0.03572465270578473
five,1998,0.015967739018788785
five,1999,0.02644977562996198
five,2000,0.02245559155401633
five,2001,0.05741525722091567
five,2002,0.01066600177304966
five,2003,0.035010337698139216
five,2004,0.030082900686652203
five,2005,0.025149516945253803
five,2006,0.030447898291285247
five,2007,0.07079365992578313
five,2008,0.004606855625829631
five,2009,0.02683833150154391
five,2010,0.009537913647502672
five,2011,0.014884107681114256
five,2012,0.06616839738077918
five,2013,0.017468688200395488
five,2014,0.06169695477557047
five,2015,0.024314243897832988
five,2016,0.011205537660201492
five,2017,0.03692015472433541
five,2018,0.019260979441295012
five,2019,0.06370521375321492
five,2020,0.022471098265895995
five,2021,0.030212593216261685
four,1988,0.0026721834324626714
four,1989,0.010471879544068696
four,1990,0.03042252202707607
four,1991,0.008319802640687768
four,1992,0.007817385866166315
four,1993,0.025181510333198598
four,1994,0.015337457629014728
four,1995,0.01526015024720162
four,1996,0.014085154645495535
four,1997,0.03572465270578473
four,1998,0.015967739018788785
four,1999,0.02644977562996198
four,2000,0.02245559155401633
four,2001,0.05741525722091567
four,2002,0.01066600177304966
four,2003,0.035010337698139216
four,2004,0.030082900686652203
four,2005,0.025149516945253803
four,2006,0.038902748348172866
four,2007,0.07079365992578313
four,2008,0.004606855625829631
four,2009,0.02683833150154391
four,2010,0.009537913647502672
four,2011,0.014884107681114256
four,2012,0.06616839738077918
four,2013,0.017468688200395488
four,2014,0.06169695477557047
four,2015,0.024314243897832988
four,2016,0.011205537660201492
four,2017,0.03692015472433541
four,2018,0.019260979441295012
four,2019,0.06370521375321492
four,2020,0.022471098265895995
four,2021,0.030212593216261685
one,1988,0.0026721834324626714
one,1989,0.010471879544068696
one,1990,0.038788715584521904
one,1991,0.008319802640687768
one,1992,0.03335058549524483
one,1993,0.025181510333198598
one,1994,0.04072089406974011
one,1995,0.01526015024720162
one,1996,0.014085154645495535
one,1997,0.03572465270578473
one,1998,0.015967739018788785
one,1999,0.02644977562996198
one,2000,0.02245559155401633
one,2001,0.01803996676477626
one,2002,0.01066600177304966
one,2003,0.035010337698139216
one,2004,0.030082900686652203
one,2005,0.025149516945253803
one,2006,0.038902748348172866
one,2007,0.07079365992578313
one,2008,0.004606855625829631
one,2009,0.02683833150154391
one,2010,0.009537913647502672
one,2011,0.014884107681114256
one,2012,0.06616839738077918
one,2013,0.017468688200395488
one,2014,0.00947112499422964
one,2015,0.024314243897832988
one,2016,0.011205537660201492
one,2017,0.03692015472433541
one,2018,0.019260979441295012
one,2019,0.06370521375321492
one,2020,0.022471098265895995
one,2021,0.030212593216261685
three,1988,0.0026721834324626714
three,1989,0.010471879544068696
three,1990,0.038788715584521904
three,1991,0.008319802640687768
three,1992,0.015969032369368752
three,1993,0.025181510333198598
three,1994,0.023470449384152436
three,1995,0.01526015024720162
three,1996,0.014085154645495535
three,1997,0.03572465270578473
three,1998,0.015967739018788785
three,1999,0.02644977562996198
three,2000,0.02245559155401633
three,2001,0.05741525722091567
three,2002,0.01066600177304966
three,2003,0.035010337698139216
three,2004,0.030082900686652203
three,2005,0.025149516945253803
three,2006,0.038902748348172866
three,2007,0.07079365992578313
three,2008,0.004606855625829631
three,2009,0.02683833150154391
three,2010,0.009537913647502672
three,2011,0.014884107681114256
three,2012,0.06616839738077918
three,2013,0.017468688200395488
three,2014,0.06169695477557047
three,2015,0.024314243897832988
three,2016,0.011205537660201492
three,2017,0.03692015472433541
three,2018,0.019260979441295012
three,2019,0.06370521375321492
three,2020,0.022471098265895995
three,2021,0.030212593216261685
two,1988,0.0026721834324626714
two,1989,0.010471879544068696
two,1990,0.038788715584521904
two,1991,0.008319802640687768
two,1992,0.024476504711996694
two,1993,0.025181510333198598
two,1994,0.03192786584479079
two,1995,0.01526015024720162
two,1996,0.014085154645495535
two,1997,0.03572465270578473
two,1998,0.015967739018788785
two,1999,0.02644977562996198
two,2000,0.02245559155401633
two,2001,0.008886197524257455
two,2002,0.01066600177304966
two,2003,0.035010337698139216
two,2004,0.030082900686652203
two,2005,0.025149516945253803
two,2006,0.038902748348172866
two,2007,0.07079365992578313
two,2008,0.004606855625829631
two,2009,0.02683833150154391
two,2010,0.009537913647502672
two,2011,0.014884107681114256
two,2012,0.06616839738077918
two,2013,0.017468688200395488
two,2014,0.06169695477557047
two,2015,0.024314243897832988
two,2016,0.011205537660201492
two,2017,0.03692015472433541
two,2018,0.019260979441295012
two,2019,0.06370521375321492
two,2020,0.022471098265895995
two,2021,0.030212593216261685
