year,days,max
1988,five,230
1988,four,230
1988,one,230
1988,three,230
1988,two,230
1989,five,230
1989,four,230
1989,one,230
1989,three,230
1989,two,230
1990,five,232
1990,four,231
1990,one,230
1990,three,230
1990,two,230
1991,five,230
1991,four,230
1991,one,230
1991,three,230
1991,two,230
1992,five,229
1992,four,234
1992,one,231
1992,three,233
1992,two,232
1993,five,230
1993,four,230
1993,one,230
1993,three,230
1993,two,230
1994,five,234
1994,four,233
1994,one,230
1994,three,232
1994,two,231
1995,five,230
1995,four,230
1995,one,230
1995,three,230
1995,two,230
1996,five,230
1996,four,230
1996,one,230
1996,three,230
1996,two,230
1997,five,230
1997,four,230
1997,one,230
1997,three,230
1997,two,230
1998,five,230
1998,four,230
1998,one,230
1998,three,230
1998,two,230
1999,five,230
1999,four,230
1999,one,230
1999,three,230
1999,two,230
2000,five,230
2000,four,230
2000,one,230
2000,three,230
2000,two,230
2001,five,229
2001,four,229
2001,one,233
2001,three,229
2001,two,234
2002,five,230
2002,four,230
2002,one,230
2002,three,230
2002,two,230
2003,five,230
2003,four,230
2003,one,230
2003,three,230
2003,two,230
2004,five,230
2004,four,230
2004,one,230
2004,three,230
2004,two,230
2005,five,230
2005,four,230
2005,one,230
2005,three,230
2005,two,230
2006,five,231
2006,four,230
2006,one,230
2006,three,230
2006,two,230
2007,five,229
2007,four,229
2007,one,229
2007,three,229
2007,two,229
2008,five,230
2008,four,230
2008,one,230
2008,three,230
2008,two,230
2009,five,230
2009,four,230
2009,one,230
2009,three,230
2009,two,230
2010,five,230
2010,four,230
2010,one,230
2010,three,230
2010,two,230
2011,five,230
2011,four,230
2011,one,230
2011,three,230
2011,two,230
2012,five,229
2012,four,229
2012,one,229
2012,three,229
2012,two,229
2013,five,230
2013,four,230
2013,one,230
2013,three,230
2013,two,230
2014,five,229
2014,four,229
2014,one,234
2014,three,229
2014,two,229
2015,five,230
2015,four,230
2015,one,230
2015,three,230
2015,two,230
2016,five,230
2016,four,230
2016,one,230
2016,three,230
2016,two,230
2017,five,230
2017,four,230
2017,one,230
2017,three,230
2017,two,230
2018,five,230
2018,four,230
2018,one,230
2018,three,230
2018,two,230
2019,five,229
2019,four,229
2019,one,229
2019,three,229
2019,two,229
2020,five,230
2020,four,230
2020,one,230
2020,three,230
2020,two,230
2021,five,230
2021,four,230
2021,one,230
2021,three,230
2021,two,230
