% Chance,one,two,three,four,five
99,93.1,93.1,93.1,93.1,93.1
95,93.5,93.5,93.5,93.5,93.5
90,96,94.5,94,94,94
80,96.4,96.4,96.2,96.4,96.4
70,96.9,97,96.9,97,97
60,97.4,97.4,97.4,97.4,97.4
50,97.7,97.6,97.6,97.7,97.7
