days,median,l_25,u_75,max,date_median
one,221.5,221,222,223,2022-08-09
two,223,221,224,224,2022-08-11
three,222.5,221,224,224,2022-08-10
four,221,221,221,221,2022-08-09
five,221,221,221,221,2022-08-09
