% Chance,one,two,three,four,five
99,93.8,93.8,96.7,96.7,96.7
95,94.5,94.5,96.8,96.7,96.7
90,95.4,95.4,97,96.8,96.8
80,96.4,96.9,97.3,96.9,96.9
70,96.7,97.5,97.6,97,97
60,96.9,98,98,97.1,97.1
50,97.3,98.5,98.5,97.2,97.2
