Date,Day,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
26-Jun,1,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,51,58,NA,NA,NA,0,NA,0,NA,NA,2,2,21,1,NA,11,0,0,0
27-Jun,2,NA,NA,NA,NA,NA,5,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,24,108,36,NA,1,NA,0,1,0,NA,NA,33,8,54,2,NA,21,0,0,0
28-Jun,3,NA,NA,1,NA,NA,334,NA,17,57,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,103,40,87,56,NA,1,NA,5,2,0,NA,NA,43,20,42,24,NA,34,0,1,0
29-Jun,4,0,NA,112,NA,NA,533,NA,29,87,NA,0,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,610,NA,NA,NA,NA,279,50,428,81,6,0,NA,4,0,13,NA,0,16,8,25,11,NA,58,1,3,3
30-Jun,5,5,NA,65,NA,NA,562,NA,79,45,NA,3,NA,NA,NA,119,NA,NA,NA,NA,NA,80,596,NA,NA,NA,NA,89,74,281,71,25,1,NA,6,0,10,NA,0,16,50,5,5,NA,44,6,0,0
1-Jul,6,16,NA,342,21,NA,617,NA,31,315,NA,25,NA,NA,NA,49,NA,33,NA,NA,NA,264,507,NA,NA,NA,NA,187,17,297,379,80,14,NA,13,0,11,2,1,31,35,3,7,NA,15,2,0,25
2-Jul,7,2,NA,118,156,87,904,NA,317,304,NA,97,NA,NA,NA,463,NA,255,NA,423,NA,998,172,NA,NA,1,NA,310,272,350,543,233,10,NA,29,1,25,5,1,63,46,5,19,NA,42,4,0,0
3-Jul,8,18,NA,485,107,NA,879,NA,NA,254,NA,67,NA,NA,NA,361,NA,387,606,268,313,831,927,NA,NA,42,NA,129,344,662,851,195,16,0,39,2,7,2,0,134,51,192,38,NA,87,6,11,0
4-Jul,9,15,NA,804,258,34,740,NA,NA,139,NA,91,NA,NA,NA,179,NA,163,NA,458,2024,397,587,NA,NA,40,NA,618,229,578,117,631,117,14,34,8,8,13,6,52,49,42,67,NA,194,9,NA,2
5-Jul,10,70,NA,629,371,69,1001,NA,NA,97,NA,61,NA,349,NA,427,NA,235,NA,1130,1462,1464,1025,NA,NA,95,160,90,410,856,1075,511,28,5,183,24,13,44,15,54,105,23,77,17,412,1,0,4
6-Jul,11,43,NA,345,382,NA,1080,NA,75,238,NA,51,NA,465,NA,453,NA,74,708,1110,1779,1688,790,NA,17,179,397,1192,454,699,976,640,35,18,95,12,10,53,9,42,164,30,56,31,436,12,9,0
7-Jul,12,66,NA,253,309,NA,1215,NA,62,174,60,60,NA,696,433,255,NA,145,876,937,1306,1788,1142,145,53,108,386,123,479,1571,1219,655,71,19,134,82,6,59,NA,98,577,154,61,30,245,37,38,1
8-Jul,13,157,NA,619,390,NA,773,NA,47,144,106,130,NA,583,378,842,204,138,715,692,1133,880,486,NA,41,46,698,726,592,1324,957,1040,362,27,273,150,18,NA,NA,254,150,61,118,38,323,12,6,238
9-Jul,14,312,NA,884,343,NA,1047,960,241,165,119,77,NA,571,368,151,622,817,880,1245,679,683,708,NA,56,189,796,241,858,1062,1218,752,679,21,225,51,50,NA,NA,122,115,137,76,113,125,34,1,24
10-Jul,15,461,NA,671,619,414,983,609,87,23,416,482,NA,684,463,1228,517,325,1004,775,1826,552,219,NA,148,124,336,450,562,1072,1309,848,464,12,202,72,165,NA,61,160,217,137,357,NA,289,83,NA,241
11-Jul,16,347,NA,701,462,NA,749,465,51,104,166,282,NA,704,887,528,281,431,683,NA,797,339,224,NA,199,234,644,804,71,1169,1007,409,NA,51,434,277,120,NA,96,355,320,301,456,NA,576,185,NA,108
12-Jul,17,274,NA,632,760,NA,526,380,NA,285,245,109,NA,658,932,1001,441,485,653,NA,1714,418,532,NA,258,282,515,547,602,927,674,759,NA,24,533,262,NA,NA,111,208,657,282,355,NA,796,29,NA,303
13-Jul,18,716,NA,597,932,NA,491,349,NA,262,305,457,NA,492,633,111,688,138,688,NA,764,715,303,NA,204,149,408,442,357,467,478,517,NA,710,575,144,NA,NA,70,100,180,587,157,105,211,121,NA,124
14-Jul,19,312,5,613,982,NA,458,371,NA,324,269,281,NA,595,814,387,517,305,426,NA,375,515,552,NA,287,152,448,402,761,NA,834,586,NA,364,392,314,144,NA,90,271,421,277,164,202,118,256,NA,163
15-Jul,20,251,9,673,548,NA,560,159,NA,331,146,304,233,450,NA,1055,320,408,367,NA,246,282,398,NA,129,186,221,381,554,550,686,629,NA,220,308,360,58,NA,44,127,238,281,450,110,87,74,NA,194
16-Jul,21,247,46,727,700,NA,452,424,NA,276,328,135,347,311,NA,647,NA,165,409,NA,774,181,324,NA,355,221,444,315,646,342,829,1233,NA,303,535,272,NA,NA,60,132,251,157,153,568,236,341,NA,134
