Date,Day,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
3-Jun,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1,0,8,0,NA,NA,NA,NA
4-Jun,2,0,NA,NA,NA,19,NA,0,16,NA,NA,NA,NA,41,0,1,0,0,14,0,NA,NA,NA,NA
5-Jun,3,16,NA,NA,NA,22,NA,7,10,1,NA,NA,39,209,1,1,2,1,16,1,NA,NA,NA,NA
6-Jun,4,10,NA,NA,2,29,9,31,23,NA,1,NA,15,1396,2,1,2,2,4,2,NA,NA,0,NA
7-Jun,5,17,17,NA,13,33,22,27,67,4,NA,NA,27,909,1,0,3,26,6,0,2,NA,0,3
8-Jun,6,42,51,102,16,15,47,40,152,4,NA,NA,10,161,3,2,2,8,45,1,0,1,2,0
9-Jun,7,21,21,158,13,37,131,37,150,NA,NA,3,22,294,3,253,0,6,23,0,2,5,10,2
10-Jun,8,68,6,392,36,45,96,105,103,NA,NA,8,73,496,4,145,3,16,20,0,0,0,12,0
11-Jun,9,25,68,453,20,54,112,84,302,NA,NA,8,30,242,46,88,10,14,17,0,0,7,13,4
12-Jun,10,60,14,133,81,51,78,133,383,4,2,16,49,167,6,22,1,73,13,0,12,0,29,10
13-Jun,11,12,12,138,77,131,41,107,462,NA,23,19,44,23,52,7,2,61,14,1,0,6,22,8
14-Jun,12,59,53,427,99,142,62,86,518,4,13,10,145,17,53,484,8,59,17,23,3,2,35,32
15-Jun,13,47,26,304,50,180,185,138,871,4,9,9,96,2,222,46,156,177,9,2,0,8,13,11
16-Jun,14,62,86,232,22,297,617,44,266,4,22,15,184,85,66,137,156,186,2,0,5,0,46,40
17-Jun,15,148,244,452,48,179,186,52,373,2,38,18,276,120,111,71,60,261,10,38,66,17,84,16
18-Jun,16,76,227,32,60,541,101,75,260,1,10,36,197,202,78,65,230,250,8,19,20,7,59,32
19-Jun,17,265,158,148,53,338,263,50,647,63,54,11,203,4571,45,194,332,176,6,53,153,22,30,45
20-Jun,18,382,572,484,172,316,588,371,570,24,33,12,260,2612,45,87,160,123,179,104,147,4,79,103
21-Jun,19,379,205,710,43,294,960,278,490,49,235,971,204,1188,31,207,19,64,11,40,126,2,23,487
22-Jun,20,699,593,393,20,272,477,113,286,45,83,508,346,1755,71,234,92,24,36,27,407,8,64,165
23-Jun,21,435,812,682,60,250,401,182,234,179,72,345,123,1257,173,318,93,187,35,49,517,10,67,56
24-Jun,22,258,1230,550,142,228,181,289,391,164,135,421,213,1043,313,1310,147,190,116,252,381,22,32,94
