% Chance,one,two,three,four,five
99,84.9,84.9,84.9,84.9,84.9
95,90.3,90.9,91,91.3,94.2
90,92.5,93.8,94,94.1,94.6
80,94.6,94.6,94.6,94.6,94.6
70,94.6,94.6,94.6,94.6,94.6
60,94.6,94.6,94.6,94.6,94.8
50,94.6,94.8,94.9,94.9,95.2
