year,days,max
2012,five,286
2012,four,285
2012,one,285
2012,three,285
2012,two,285
2013,five,286
2013,four,285
2013,one,285
2013,three,285
2013,two,285
2014,five,NA
2014,four,NA
2014,one,285
2014,three,NA
2014,two,NA
2015,five,286
2015,four,285
2015,one,285
2015,three,285
2015,two,285
2016,five,286
2016,four,285
2016,one,285
2016,three,285
2016,two,285
2017,five,NA
2017,four,287
2017,one,285
2017,three,286
2017,two,285
2018,five,285
2018,four,285
2018,one,285
2018,three,285
2018,two,285
2019,five,285
2019,four,285
2019,one,285
2019,three,285
2019,two,285
2020,five,285
2020,four,285
2020,one,285
2020,three,285
2020,two,285
2021,five,NA
2021,four,NA
2021,one,286
2021,three,NA
2021,two,287
