year,days,diff
1971,one,0.09985407223702902
1972,one,0.04572166270482103
1973,one,0.036605997512813904
1974,one,0.053967891072579266
1975,one,0.030622090986055284
1976,one,0.019393476604456672
1977,one,0.05396791945472468
1978,one,0.003995474173720925
1979,one,0.02866098814523066
1980,one,0.053967946175391024
1981,one,0.015173896348715243
1982,one,0.05396797150866117
1983,one,0.02889669345520074
1984,one,0.053968001660492204
1985,one,0.040780935829224485
1986,one,0.02433256992691135
1987,one,0.0071356146617724825
1988,one,0.02333639461356518
1989,one,0.05143631642105362
1990,one,0.017739817053324947
1991,one,0.11453826435426295
1992,one,0.037473687693305946
1993,one,0.059717666242169676
1994,one,0.05396810795362983
1995,one,0.053968119739816633
1999,one,0.08046735575727726
2000,one,0.03848824022776265
2001,one,0.05327432633031459
2002,one,0.041552355397728724
2003,one,0.053968169230495855
2004,one,0.0542943165171107
2005,one,0.05448753841367204
2006,one,0.0539681926234038
2007,one,0.03593891663894411
2008,one,0.1826559195644749
2009,one,0.050735517097984406
2010,one,0.07254872630998477
2011,one,0.03899239507695362
2012,one,0.05396824988166693
2013,one,0.05396826590603965
2014,one,0.09255826714790405
2015,one,0.05396829164590744
2016,one,0.05013764608040405
2017,one,0.05396832512790717
2018,one,0.05217002394731285
2019,one,0.05396835249751997
2020,one,0.057431247790659556
2021,one,0.04879136029015152
1971,two,0.09985407223702902
1972,two,0.04572166270482103
1973,two,0.036605997512813904
1974,two,0.053967891072579266
1975,two,0.019797847943115898
1976,two,0.019393476604456672
1977,two,0.05396791945472468
1978,two,0.003995474173720925
1979,two,0.02866098814523066
1980,two,0.053967946175391024
1981,two,0.015173896348715243
1982,two,0.05396797150866117
1983,two,0.02889669345520074
1984,two,0.053968001660492204
1985,two,0.040780935829224485
1986,two,0.02433256992691135
1987,two,0.0071356146617724825
1988,two,0.02333639461356518
1989,two,0.05143631642105362
1990,two,0.017739817053324947
1991,two,0.11453826435426295
1992,two,0.037473687693305946
1993,two,0.03402888316765862
1994,two,0.05396810795362983
1995,two,0.053968119739816633
1999,two,0.0744417008817807
2000,two,0.03848824022776265
2001,two,0.05327432633031459
2002,two,0.041552355397728724
2003,two,0.053968169230495855
2004,two,0.0542943165171107
2005,two,0.05448753841367204
2006,two,0.0539681926234038
2007,two,0.03593891663894411
2008,two,0.1826559195644749
2009,two,0.050735517097984406
2010,two,0.07254872630998477
2011,two,0.03899239507695362
2012,two,0.05396824988166693
2013,two,0.05396826590603965
2014,two,0.03140357936238236
2015,two,0.05396829164590744
2016,two,0.05013764608040405
2017,two,0.05396832512790717
2018,two,0.05217002394731285
2019,two,0.05396835249751997
2020,two,0.057431247790659556
2021,two,0.04528034079236409
1971,three,0.09941148305388081
1972,three,0.04572166270482103
1973,three,0.036605997512813904
1974,three,0.053967891072579266
1975,three,0.0035734836481557952
1976,three,0.019393476604456672
1977,three,0.05396791945472468
1978,three,0.003995474173720925
1979,three,0.02866098814523066
1980,three,0.053967946175391024
1981,three,0.015173896348715243
1982,three,0.05396797150866117
1983,three,0.02889669345520074
1984,three,0.053968001660492204
1985,three,0.040780935829224485
1986,three,0.02433256992691135
1987,three,0.0071356146617724825
1988,three,0.02333639461356518
1989,three,0.05143631642105362
1990,three,0.0165118718077526
