days,median,l_25,u_75,max,date_median
one,285,285,285,286,2022-10-12
two,285,285,285,287,2022-10-12
three,285,285,285,286,2022-10-12
four,285,285,285,287,2022-10-12
five,286,285,286,286,2022-10-13
