"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,53,0
"28-May",,0,0,48,0
"29-May",,0,0,0,0
"30-May",,0,0,22,0
"31-May",,0,0,37,0
"1-Jun",,0,0,21,0
"2-Jun",,1,0,99,0
"3-Jun",,2,0,119,0
"4-Jun",,1,0,154,0
"5-Jun",1,,,,0
"6-Jun",,0,0,198,0
"7-Jun",4,,,,0
"8-Jun",4,,,,0
"9-Jun",,3,0,185,0
"10-Jun",,1,0,198,0
"11-Jun",,2,0,192,0
"12-Jun",4,,,,0
"13-Jun",,0,0,205,0
"14-Jun",4,,,,0
"15-Jun",4,,,,0
"16-Jun",4,,,,0
"17-Jun",2,,,,0
"18-Jun",1,,,,0
"19-Jun",63,,,,0
"20-Jun",24,,,,0
"21-Jun",49,,,,0
"22-Jun",45,,,,0
"23-Jun",179,,,,0
"24-Jun",164,,,,0
"25-Jun",36,,,,0
"26-Jun",124,,,,0
"27-Jun",20,,,,0
"28-Jun",22,,,,0
"29-Jun",71,,,,0
"30-Jun",52,,,,0
"1-Jul",143,,,,0
"2-Jul",211,,,,0
"3-Jul",529,,,,0
"4-Jul",295,,,,0
"5-Jul",74,,,,0
"6-Jul",75,,,,0
"7-Jul",29,,,,0
"8-Jul",125,,,,0
"9-Jul",85,,,,0
"10-Jul",125,,,,0
"11-Jul",324,,,,0
"12-Jul",125,,,,0
"13-Jul",152,,,,0
"14-Jul",122,,,,0
"15-Jul",174,,,,0
"16-Jul",1309,,,,0
"17-Jul",678,,,,0
"18-Jul",184,,,,0
"19-Jul",129,,,,0
"20-Jul",85,,,,0
"21-Jul",61,,,,0
"22-Jul",58,,,,0
"23-Jul",25,,,,0
"24-Jul",22,,,,0
"25-Jul",75,,,,11
"26-Jul",2159,,,,175
"27-Jul",2067,,,,1199
"28-Jul",2348,,,,3764
"29-Jul",7004,,,,5611
"30-Jul",3782,,,,4109
"31-Jul",1083,,,,1527
"1-Aug",800,,,,297
"2-Aug",1053,,,,31
"3-Aug",291,,,,2
"4-Aug",168,,,,0
"5-Aug",159,,,,0
"6-Aug",352,,,,0
"7-Aug",104,,,,0
"8-Aug",505,,,,0
"9-Aug",449,,,,0
"10-Aug",194,,,,0
"11-Aug",603,,,,0
"12-Aug",194,,,,0
"13-Aug",133,,,,0
"14-Aug",,3,0,202,0
"15-Aug",100,,,,0
"16-Aug",212,,,,0
"17-Aug",210,,,,0
"18-Aug",273,,,,0
"19-Aug",401,,,,0
"20-Aug",288,,,,0
"21-Aug",119,,,,0
"22-Aug",117,,,,0
"23-Aug",215,,,,0
"24-Aug",46,,,,0
"25-Aug",50,,,,0
"26-Aug",106,,,,0
"27-Aug",190,,,,0
"28-Aug",148,,,,0
"29-Aug",128,,,,0
"30-Aug",114,,,,0
"31-Aug",80,,,,0
"1-Sep",81,,,,0
"2-Sep",78,,,,0
"3-Sep",44,,,,0
"4-Sep",66,,,,0
"5-Sep",54,,,,0
"6-Sep",52,,,,0
"7-Sep",46,,,,0
"8-Sep",42,,,,0
"9-Sep",54,,,,0
"10-Sep",18,,,,0
"11-Sep",65,,,,0
"12-Sep",21,,,,0
"13-Sep",,1,0,202,0
"14-Sep",,3,0,189,0
"15-Sep",,1,0,181,0
"16-Sep",,3,0,189,0
"17-Sep",,0,0,188,0
"18-Sep",,0,0,194,0
"19-Sep",,2,0,192,0
"20-Sep",,0,0,190,0
"21-Sep",,1,0,196,0
"22-Sep",,0,0,186,0
"23-Sep",,0,0,191,0
"24-Sep",,0,0,184,0
"25-Sep",,3,0,193,0
"26-Sep",,0,0,188,0
"27-Sep",,0,0,180,0
"28-Sep",,3,0,190,0
"29-Sep",,2,0,193,0
"30-Sep",,3,0,189,0
"1-Oct",,2,0,174,0
"2-Oct",,0,0,189,0
"3-Oct",,3,0,187,0
"4-Oct",,0,0,185,0
"5-Oct",,0,0,186,0
"6-Oct",,0,0,191,0
"7-Oct",,0,0,65,0
"8-Oct",,0,0,175,0
"9-Oct",,0,0,186,0
"10-Oct",,0,0,188,0
"11-Oct",,0,0,188,0
"12-Oct",,2,0,148,0
"13-Oct",,0,0,190,0
"14-Oct",,2,0,182,0
"15-Oct",,0,0,27,0
"16-Oct",,0,0,184,0
"17-Oct",,1,0,186,0
"18-Oct",,0,0,190,0
"19-Oct",,4,0,183,0
"20-Oct",,3,0,190,0
"21-Oct",,2,0,187,0
"22-Oct",,0,0,187,0
"23-Oct",,3,0,186,0
"24-Oct",,4,0,173,0
"25-Oct",,1,0,179,0
"26-Oct",,0,0,166,0
"27-Oct",,0,0,175,0
"28-Oct",,0,0,177,0
"29-Oct",,0,0,167,0
"30-Oct",,0,0,172,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,26,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,41,0
"5-Nov",,0,0,55,0
"8-Nov",,0,0,26,0
"9-Nov",,0,0,84,0
"10-Nov",,0,0,52,0
"12-Nov",,0,0,70,0
"13-Nov",,0,0,55,0
