"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,68,0
"28-May",,0,0,38,0
"29-May",,0,0,0,0
"30-May",,0,0,20,0
"31-May",,0,0,34,0
"1-Jun",,0,0,19,0
"2-Jun",,1,0,94,0
"3-Jun",,0,0,106,0
"4-Jun",,0,0,153,0
"5-Jun",,0,0,191,0
"6-Jun",,0,0,192,0
"7-Jun",,3,0,187,0
"8-Jun",,6,0,191,0
"9-Jun",,0,0,191,0
"10-Jun",,0,0,196,0
"11-Jun",,0,0,202,0
"12-Jun",,0,0,192,0
"13-Jun",,1,0,198,0
"14-Jun",,3,0,207,0
"15-Jun",300,,,,0
"16-Jun",0,,,,0
"17-Jun",13,,,,0
"18-Jun",15,,,,0
"19-Jun",3,,,,0
"20-Jun",54,,,,0
"21-Jun",6,,,,0
"22-Jun",4,,,,0
"23-Jun",24,,,,0
"24-Jun",164,,,,0
"25-Jun",143,,,,0
"26-Jun",607,,,,0
"27-Jun",170,,,,0
"28-Jun",45,,,,0
"29-Jun",204,,,,0
"30-Jun",88,,,,0
"1-Jul",99,,,,0
"2-Jul",121,,,,0
"3-Jul",240,,,,1
"4-Jul",875,,,,1
"5-Jul",197,,,,3
"6-Jul",16,,,,4
"7-Jul",191,,,,7
"8-Jul",196,,,,12
"9-Jul",248,,,,18
"10-Jul",364,,,,28
"11-Jul",211,,,,42
"12-Jul",1015,,,,61
"13-Jul",727,,,,86
"14-Jul",1045,,,,118
"15-Jul",776,,,,160
"16-Jul",646,,,,212
"17-Jul",517,,,,275
"18-Jul",736,,,,351
"19-Jul",1447,,,,440
"20-Jul",2372,,,,542
"21-Jul",3305,,,,658
"22-Jul",2066,,,,787
"23-Jul",1056,,,,927
"24-Jul",,1074,856,1290,1078
"25-Jul",,1233,1004,1455,1237
"26-Jul",440,,,,1402
"27-Jul",373,,,,1570
"28-Jul",1827,,,,1740
"29-Jul",2124,,,,1906
"30-Jul",2113,,,,2068
"31-Jul",782,,,,2221
"1-Aug",556,,,,2363
"2-Aug",519,,,,2492
"3-Aug",1371,,,,2605
"4-Aug",1623,,,,2701
"5-Aug",4263,,,,2778
"6-Aug",1685,,,,2836
"7-Aug",1773,,,,2874
"8-Aug",4566,,,,2893
"9-Aug",5579,,,,2892
"10-Aug",7767,,,,2872
"11-Aug",5311,,,,2835
"12-Aug",3566,,,,2782
"13-Aug",650,,,,2714
"14-Aug",1587,,,,2633
"15-Aug",1596,,,,2541
"16-Aug",856,,,,2440
"17-Aug",1551,,,,2331
"18-Aug",2004,,,,2217
"19-Aug",4130,,,,2099
"20-Aug",1272,,,,1978
"21-Aug",416,,,,1857
"22-Aug",1459,,,,1735
"23-Aug",2136,,,,1616
"24-Aug",2269,,,,1499
"25-Aug",4294,,,,1385
"26-Aug",1645,,,,1275
"27-Aug",767,,,,1170
"28-Aug",364,,,,1071
"29-Aug",769,,,,976
"30-Aug",561,,,,888
"31-Aug",160,,,,804
"1-Sep",368,,,,727
"2-Sep",83,,,,655
"3-Sep",17,,,,589
"4-Sep",121,,,,528
"5-Sep",250,,,,472
"6-Sep",78,,,,421
"7-Sep",137,,,,375
"8-Sep",38,,,,333
"9-Sep",143,,,,295
"10-Sep",78,,,,261
"11-Sep",45,,,,230
"12-Sep",17,,,,203
"13-Sep",21,,,,178
"14-Sep",8,,,,157
"15-Sep",9,,,,137
"16-Sep",12,,,,120
"17-Sep",3,,,,105
"18-Sep",12,,,,91
"19-Sep",,75,0,260,79
"20-Sep",2,,,,69
"21-Sep",3,,,,60
"22-Sep",2,,,,52
"23-Sep",8,,,,45
"24-Sep",5,,,,39
"25-Sep",7,,,,33
"26-Sep",4,,,,29
"27-Sep",7,,,,25
"28-Sep",3,,,,21
"29-Sep",2,,,,18
"30-Sep",,13,0,192,16
"1-Oct",,12,0,190,13
"2-Oct",,9,0,193,12
"3-Oct",0,,,,10
"4-Oct",,9,0,189,8
"5-Oct",,7,0,186,7
"6-Oct",,4,0,193,6
"7-Oct",,5,0,73,5
"8-Oct",,4,0,190,4
"9-Oct",,4,0,191,4
"10-Oct",,3,0,202,3
"11-Oct",,3,0,185,3
"12-Oct",,3,0,148,2
"13-Oct",,1,0,188,2
"14-Oct",,0,0,186,2
"15-Oct",,2,0,21,1
"16-Oct",,1,0,177,1
"17-Oct",,3,0,193,1
"18-Oct",,2,0,184,1
"19-Oct",,0,0,183,1
"20-Oct",,2,0,176,1
"21-Oct",,2,0,178,1
"22-Oct",,0,0,169,0
"23-Oct",,0,0,179,0
"24-Oct",,1,0,178,0
"25-Oct",,1,0,178,0
"26-Oct",,0,0,175,0
"27-Oct",,0,0,176,0
"28-Oct",,0,0,174,0
"29-Oct",,0,0,168,0
"30-Oct",,5,0,179,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,27,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,18,0
"5-Nov",,0,0,95,0
"8-Nov",,0,0,41,0
"9-Nov",,0,0,71,0
"10-Nov",,0,0,47,0
"12-Nov",,0,0,14,0
"13-Nov",,0,0,44,0
