"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,64,0
"28-May",,0,0,37,0
"29-May",,0,0,0,0
"30-May",,0,0,22,0
"31-May",,0,0,34,0
"1-Jun",,0,0,17,0
"2-Jun",,1,0,103,0
"3-Jun",,0,0,104,0
"4-Jun",0,,,,0
"5-Jun",0,,,,0
"6-Jun",5,,,,0
"7-Jun",93,,,,0
"8-Jun",39,,,,0
"9-Jun",85,,,,0
"10-Jun",220,,,,0
"11-Jun",25,,,,0
"12-Jun",100,,,,0
"13-Jun",68,,,,0
"14-Jun",488,,,,0
"15-Jun",716,,,,0
"16-Jun",1006,,,,0
"17-Jun",126,,,,0
"18-Jun",260,,,,0
"19-Jun",320,,,,0
"20-Jun",219,,,,0
"21-Jun",427,,,,0
"22-Jun",2526,,,,0
"23-Jun",3325,,,,0
"24-Jun",1295,,,,0
"25-Jun",748,,,,0
"26-Jun",684,,,,0
"27-Jun",703,,,,0
"28-Jun",561,,,,0
"29-Jun",700,,,,0
"30-Jun",256,,,,1
"1-Jul",583,,,,2
"2-Jul",575,,,,4
"3-Jul",341,,,,9
"4-Jul",316,,,,19
"5-Jul",304,,,,37
"6-Jul",366,,,,67
"7-Jul",1264,,,,117
"8-Jul",405,,,,191
"9-Jul",308,,,,297
"10-Jul",326,,,,439
"11-Jul",348,,,,622
"12-Jul",355,,,,844
"13-Jul",618,,,,1100
"14-Jul",1208,,,,1380
"15-Jul",531,,,,1671
"16-Jul",704,,,,1956
"17-Jul",4047,,,,2219
"18-Jul",3838,,,,2442
"19-Jul",3057,,,,2613
"20-Jul",4183,,,,2722
"21-Jul",2613,,,,2764
"22-Jul",2222,,,,2740
"23-Jul",1588,,,,2655
"24-Jul",1322,,,,2518
"25-Jul",1194,,,,2339
"26-Jul",4887,,,,2130
"27-Jul",3250,,,,1905
"28-Jul",324,,,,1674
"29-Jul",652,,,,1446
"30-Jul",1021,,,,1229
"31-Jul",1448,,,,1030
"1-Aug",884,,,,850
"2-Aug",343,,,,692
"3-Aug",406,,,,556
"4-Aug",207,,,,441
"5-Aug",387,,,,346
"6-Aug",832,,,,268
"7-Aug",1026,,,,205
"8-Aug",1030,,,,156
"9-Aug",531,,,,117
"10-Aug",369,,,,87
"11-Aug",230,,,,64
"12-Aug",148,,,,47
"13-Aug",280,,,,34
"14-Aug",458,,,,24
"15-Aug",963,,,,17
"16-Aug",320,,,,12
"17-Aug",310,,,,9
"18-Aug",289,,,,6
"19-Aug",195,,,,4
"20-Aug",185,,,,3
"21-Aug",307,,,,2
"22-Aug",1348,,,,1
"23-Aug",412,,,,1
"24-Aug",399,,,,1
"25-Aug",273,,,,0
"26-Aug",159,,,,0
"27-Aug",118,,,,0
"28-Aug",156,,,,0
"29-Aug",268,,,,0
"30-Aug",1428,,,,0
"31-Aug",1011,,,,0
"1-Sep",453,,,,0
"2-Sep",224,,,,0
"3-Sep",726,,,,0
"4-Sep",858,,,,0
"5-Sep",484,,,,0
"6-Sep",345,,,,0
"7-Sep",194,,,,0
"8-Sep",216,,,,0
"9-Sep",193,,,,0
"10-Sep",314,,,,0
"11-Sep",122,,,,0
"12-Sep",241,,,,0
"13-Sep",253,,,,0
"14-Sep",57,,,,0
"15-Sep",140,,,,0
"16-Sep",130,,,,0
"17-Sep",127,,,,0
"18-Sep",130,,,,0
"19-Sep",156,,,,0
"20-Sep",57,,,,0
"21-Sep",82,,,,0
"22-Sep",34,,,,0
"23-Sep",36,,,,0
"24-Sep",7,,,,0
"25-Sep",12,,,,0
"26-Sep",13,,,,0
"27-Sep",8,,,,0
"28-Sep",7,,,,0
"29-Sep",13,,,,0
"30-Sep",6,,,,0
"1-Oct",8,,,,0
"2-Oct",3,,,,0
"3-Oct",3,,,,0
"4-Oct",4,,,,0
"5-Oct",5,,,,0
"6-Oct",3,,,,0
"7-Oct",,1,0,63,0
"8-Oct",2,,,,0
"9-Oct",1,,,,0
"10-Oct",,0,0,189,0
"11-Oct",1,,,,0
"12-Oct",4,,,,0
"13-Oct",4,,,,0
"14-Oct",,0,0,187,0
"15-Oct",,0,0,22,0
"16-Oct",,0,0,180,0
"17-Oct",,8,0,186,0
"18-Oct",,0,0,185,0
"19-Oct",,4,0,176,0
"20-Oct",,0,0,185,0
"21-Oct",,2,0,176,0
"22-Oct",,4,0,178,0
"23-Oct",,0,0,172,0
"24-Oct",,0,0,180,0
"25-Oct",,0,0,182,0
"26-Oct",,2,0,178,0
"27-Oct",,0,0,177,0
"28-Oct",,5,0,174,0
"29-Oct",,1,0,171,0
"30-Oct",,0,0,176,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,30,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,14,0
"5-Nov",,0,0,95,0
"8-Nov",0,,,,0
"9-Nov",0,,,,0
"10-Nov",0,,,,0
"12-Nov",0,,,,0
"13-Nov",0,,,,0
