"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,60,0
"28-May",,2,0,53,2
"29-May",,9,6,15,9
"30-May",,26,4,50,26
"31-May",,53,17,89,53
"1-Jun",,89,60,124,88
"2-Jun",0,,,,132
"3-Jun",3,,,,181
"4-Jun",9,,,,234
"5-Jun",4,,,,289
"6-Jun",15,,,,345
"7-Jun",18,,,,400
"8-Jun",3,,,,454
"9-Jun",11,,,,506
"10-Jun",137,,,,556
"11-Jun",1860,,,,602
"12-Jun",2064,,,,646
"13-Jun",651,,,,686
"14-Jun",1310,,,,723
"15-Jun",1952,,,,757
"16-Jun",720,,,,787
"17-Jun",644,,,,815
"18-Jun",971,,,,839
"19-Jun",1805,,,,861
"20-Jun",1373,,,,880
"21-Jun",55,,,,897
"22-Jun",60,,,,911
"23-Jun",285,,,,923
"24-Jun",270,,,,933
"25-Jun",435,,,,941
"26-Jun",432,,,,947
"27-Jun",773,,,,951
"28-Jun",5244,,,,954
"29-Jun",1706,,,,956
"30-Jun",,954,757,1150,956
"1-Jul",,959,761,1160,955
"2-Jul",,955,755,1154,953
"3-Jul",,951,748,1149,950
"4-Jul",,945,742,1153,946
"5-Jul",,941,739,1150,941
"6-Jul",551,,,,936
"7-Jul",43,,,,929
"8-Jul",224,,,,922
"9-Jul",59,,,,915
"10-Jul",28,,,,907
"11-Jul",21,,,,899
"12-Jul",26,,,,890
"13-Jul",154,,,,881
"14-Jul",131,,,,872
"15-Jul",83,,,,862
"16-Jul",140,,,,852
"17-Jul",122,,,,842
"18-Jul",566,,,,832
"19-Jul",451,,,,821
"20-Jul",363,,,,811
"21-Jul",603,,,,800
"22-Jul",313,,,,790
"23-Jul",421,,,,779
"24-Jul",311,,,,768
"25-Jul",440,,,,758
"26-Jul",1111,,,,747
"27-Jul",950,,,,736
"28-Jul",335,,,,726
"29-Jul",580,,,,715
"30-Jul",1675,,,,704
"31-Jul",2930,,,,694
"1-Aug",1907,,,,683
"2-Aug",3027,,,,673
"3-Aug",802,,,,663
"4-Aug",2415,,,,653
"5-Aug",268,,,,643
"6-Aug",131,,,,633
"7-Aug",137,,,,623
"8-Aug",393,,,,613
"9-Aug",1310,,,,603
"10-Aug",2280,,,,594
"11-Aug",4526,,,,584
"12-Aug",891,,,,575
"13-Aug",303,,,,566
"14-Aug",412,,,,557
"15-Aug",850,,,,548
"16-Aug",926,,,,539
"17-Aug",70,,,,530
"18-Aug",127,,,,522
"19-Aug",206,,,,513
"20-Aug",163,,,,505
"21-Aug",228,,,,497
"22-Aug",810,,,,489
"23-Aug",985,,,,481
"24-Aug",945,,,,473
"25-Aug",243,,,,465
"26-Aug",152,,,,458
"27-Aug",252,,,,450
"28-Aug",251,,,,443
"29-Aug",703,,,,436
"30-Aug",655,,,,429
"31-Aug",364,,,,422
"1-Sep",433,,,,415
"2-Sep",130,,,,408
"3-Sep",257,,,,401
"4-Sep",234,,,,395
"5-Sep",476,,,,388
"6-Sep",241,,,,382
"7-Sep",242,,,,376
"8-Sep",100,,,,370
"9-Sep",88,,,,364
"10-Sep",163,,,,358
"11-Sep",225,,,,352
"12-Sep",141,,,,346
"13-Sep",92,,,,341
"14-Sep",96,,,,335
"15-Sep",33,,,,330
"16-Sep",26,,,,325
"17-Sep",18,,,,320
"18-Sep",37,,,,314
"19-Sep",44,,,,309
"20-Sep",59,,,,304
"21-Sep",33,,,,300
"22-Sep",25,,,,295
"23-Sep",32,,,,290
"24-Sep",51,,,,286
"25-Sep",67,,,,281
"26-Sep",6,,,,277
"27-Sep",,270,89,458,272
"28-Sep",,270,74,465,268
"29-Sep",,270,66,455,264
"30-Sep",,256,72,442,260
"1-Oct",,251,74,440,255
"2-Oct",,252,62,445,251
"3-Oct",,250,67,434,248
"4-Oct",,238,53,432,244
"5-Oct",,242,57,437,240
"6-Oct",,237,39,423,236
"7-Oct",,234,163,307,232
"8-Oct",,230,49,402,229
"9-Oct",,225,46,413,225
"10-Oct",,226,39,404,222
"11-Oct",,219,39,395,218
"12-Oct",,214,62,361,215
"13-Oct",,212,26,395,212
"14-Oct",,211,25,396,209
"15-Oct",,206,171,239,205
"16-Oct",,200,12,376,202
"17-Oct",,200,9,387,199
"18-Oct",,195,8,377,196
"19-Oct",,195,17,381,193
"20-Oct",,193,1,374,190
"21-Oct",,189,12,367,187
"22-Oct",,185,10,376,185
"23-Oct",,188,0,366,182
"24-Oct",,181,0,372,179
"25-Oct",,174,0,351,176
"26-Oct",,172,5,347,174
"27-Oct",,170,0,343,171
"28-Oct",,170,0,352,169
"29-Oct",,166,0,345,166
"30-Oct",,163,0,338,164
"31-Oct",,161,142,182,161
"1-Nov",,159,129,189,159
"2-Nov",,157,138,177,157
"3-Nov",,154,117,193,154
"5-Nov",,152,103,204,152
"8-Nov",,150,116,181,150
"9-Nov",,148,59,225,148
"10-Nov",,146,92,190,145
"12-Nov",,144,89,202,143
"13-Nov",,141,83,196,141
