"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,59,0
"28-May",,0,0,53,0
"29-May",,0,0,0,0
"30-May",,0,0,22,0
"31-May",,0,0,34,0
"1-Jun",,0,0,21,0
"2-Jun",,1,0,102,0
"3-Jun",,0,0,115,0
"4-Jun",,4,0,160,0
"5-Jun",,1,0,208,0
"6-Jun",7,,,,0
"7-Jun",18,,,,0
"8-Jun",4,,,,0
"9-Jun",12,,,,0
"10-Jun",14,,,,0
"11-Jun",8,,,,0
"12-Jun",26,,,,0
"13-Jun",6,,,,0
"14-Jun",31,,,,0
"15-Jun",23,,,,0
"16-Jun",16,,,,0
"17-Jun",17,,,,0
"18-Jun",10,,,,0
"19-Jun",14,,,,0
"20-Jun",64,,,,0
"21-Jun",19,,,,0
"22-Jun",15,,,,0
"23-Jun",1,,,,0
"24-Jun",23,,,,0
"25-Jun",37,,,,0
"26-Jun",71,,,,0
"27-Jun",49,,,,0
"28-Jun",28,,,,0
"29-Jun",83,,,,0
"30-Jun",223,,,,0
"1-Jul",132,,,,0
"2-Jul",74,,,,1
"3-Jul",71,,,,2
"4-Jul",42,,,,3
"5-Jul",232,,,,5
"6-Jul",357,,,,8
"7-Jul",1082,,,,12
"8-Jul",667,,,,19
"9-Jul",525,,,,28
"10-Jul",563,,,,40
"11-Jul",244,,,,57
"12-Jul",212,,,,78
"13-Jul",195,,,,106
"14-Jul",236,,,,141
"15-Jul",237,,,,184
"16-Jul",581,,,,236
"17-Jul",613,,,,298
"18-Jul",310,,,,369
"19-Jul",156,,,,450
"20-Jul",340,,,,542
"21-Jul",530,,,,643
"22-Jul",824,,,,753
"23-Jul",516,,,,871
"24-Jul",1754,,,,996
"25-Jul",1005,,,,1125
"26-Jul",498,,,,1258
"27-Jul",1326,,,,1392
"28-Jul",964,,,,1525
"29-Jul",1768,,,,1656
"30-Jul",1689,,,,1781
"31-Jul",1598,,,,1900
"1-Aug",2026,,,,2010
"2-Aug",2067,,,,2109
"3-Aug",1453,,,,2197
"4-Aug",2216,,,,2272
"5-Aug",1630,,,,2333
"6-Aug",2333,,,,2380
"7-Aug",4317,,,,2412
"8-Aug",4654,,,,2430
"9-Aug",4960,,,,2434
"10-Aug",1809,,,,2424
"11-Aug",1486,,,,2401
"12-Aug",1736,,,,2366
"13-Aug",1486,,,,2320
"14-Aug",2208,,,,2263
"15-Aug",1623,,,,2198
"16-Aug",1928,,,,2125
"17-Aug",1203,,,,2046
"18-Aug",2845,,,,1961
"19-Aug",2729,,,,1873
"20-Aug",882,,,,1782
"21-Aug",902,,,,1688
"22-Aug",532,,,,1594
"23-Aug",2746,,,,1501
"24-Aug",334,,,,1407
"25-Aug",1729,,,,1316
"26-Aug",1372,,,,1227
"27-Aug",337,,,,1140
"28-Aug",68,,,,1056
"29-Aug",1043,,,,976
"30-Aug",1465,,,,899
"31-Aug",1038,,,,827
"1-Sep",1526,,,,758
"2-Sep",1159,,,,693
"3-Sep",754,,,,633
"4-Sep",420,,,,576
"5-Sep",148,,,,523
"6-Sep",371,,,,474
"7-Sep",2115,,,,429
"8-Sep",1290,,,,388
"9-Sep",202,,,,349
"10-Sep",1108,,,,314
"11-Sep",113,,,,282
"12-Sep",86,,,,253
"13-Sep",157,,,,226
"14-Sep",193,,,,202
"15-Sep",161,,,,180
"16-Sep",127,,,,161
"17-Sep",104,,,,143
"18-Sep",64,,,,127
"19-Sep",61,,,,113
"20-Sep",52,,,,100
"21-Sep",38,,,,88
"22-Sep",89,,,,78
"23-Sep",169,,,,69
"24-Sep",65,,,,61
"25-Sep",35,,,,53
"26-Sep",7,,,,47
"27-Sep",6,,,,41
"28-Sep",10,,,,36
"29-Sep",9,,,,32
"30-Sep",9,,,,28
"1-Oct",,25,0,206,24
"2-Oct",15,,,,21
"3-Oct",11,,,,19
"4-Oct",2,,,,16
"5-Oct",18,,,,14
"6-Oct",9,,,,12
"7-Oct",,10,0,82,11
"8-Oct",1,,,,9
"9-Oct",1,,,,8
"10-Oct",,6,0,184,7
"11-Oct",1,,,,6
"12-Oct",,3,0,154,5
"13-Oct",,3,0,189,5
"14-Oct",,7,0,203,4
"15-Oct",,4,0,31,3
"16-Oct",,4,0,182,3
"17-Oct",,1,0,190,3
"18-Oct",0,,,,2
"19-Oct",0,,,,2
"20-Oct",,4,0,187,2
"21-Oct",1,,,,1
"22-Oct",,0,0,171,1
"23-Oct",,0,0,184,1
"24-Oct",,3,0,174,1
"25-Oct",,0,0,184,1
"26-Oct",,0,0,176,1
"27-Oct",,2,0,179,1
"28-Oct",0,,,,1
"29-Oct",0,,,,0
"30-Oct",,0,0,184,0
"31-Oct",,0,0,1,0
"1-Nov",,0,0,29,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,33,0
"5-Nov",,0,0,55,0
"8-Nov",,0,0,32,0
"9-Nov",,0,0,88,0
"10-Nov",,0,0,50,0
"12-Nov",,0,0,58,0
"13-Nov",,0,0,53,0
