"","x"
"[1,1]",0
"[2,1]",0.00148253937398416
"[3,1]",0
"[4,1]",0
"[5,1]",0
"[6,1]",0.00430809652545572
"[7,1]",0
"[8,1]",0.00180129364354512
"[9,1]",0.000831554889520526
"[10,1]",0
"[11,1]",0
"[12,1]",0.00320004012076037
"[13,1]",0
"[14,1]",0
"[15,1]",0.000619815170806447
"[16,1]",0
"[17,1]",0.0506528934084847
"[18,1]",0
"[19,1]",0.000421703385313082
"[20,1]",0.0010114443198665
"[21,1]",0
"[22,1]",0.780185758166135
"[23,1]",0.00186800069110537
"[24,1]",0
"[25,1]",0.00184109032673937
"[26,1]",0.00277925528249268
"[27,1]",0.00354549036075873
"[28,1]",0
"[29,1]",0.00201850090475502
"[30,1]",0
"[31,1]",0
"[32,1]",0
"[33,1]",0.0026420276761184
"[34,1]",0
"[35,1]",0
"[36,1]",0
"[37,1]",0
"[38,1]",0.00171681627447154
"[40,1]",0.0013683923831808
"[41,1]",0.00346949930332113
"[42,1]",0.00132464065087443
"[43,1]",0.0005926306318369
"[44,1]",0
"[45,1]",0.00278652587977928
"[46,1]",0.00161427569634432
"[47,1]",0.00018315618900033
"[1,2]",0.019399247353346
"[3,2]",0
"[4,2]",0.289873422637303
"[5,2]",0
"[6,2]",0.0375645218128187
"[7,2]",0
"[8,2]",0.246211251149938
"[9,2]",0
"[10,2]",0.176204468172668
"[11,2]",0
"[12,2]",0.0470713080532234
"[13,2]",0
"[14,2]",0.179915950329594
"[15,2]",0
"[16,2]",0
"[17,2]",1.39611703515706
"[18,2]",0.0409811404747228
"[19,2]",0.335199816623826
"[20,2]",0.104636925190964
"[21,2]",0.209040912499659
"[22,2]",8.35786923158644
"[23,2]",0
"[24,2]",0.399063998013212
"[25,2]",0.0221114824156081
"[26,2]",0.18712119512057
"[27,2]",0
"[28,2]",0.152874392247924
"[29,2]",0
"[30,2]",0
"[31,2]",0.204885980877971
"[32,2]",0
"[33,2]",0.184855723743036
"[34,2]",0.295802519161073
"[35,2]",0.0515810010648057
"[36,2]",0.290425128620508
"[37,2]",0.114284767362334
"[38,2]",0
"[40,2]",0.0513269310239856
"[41,2]",0.223187482883008
"[42,2]",0
"[43,2]",0
"[44,2]",0
"[45,2]",0
"[46,2]",0.042079350065858
"[47,2]",0.0411772159074248
"[1,3]",0
"[3,3]",0.000134501459016381
"[4,3]",0.000432549445307272
"[5,3]",7.12551513786254e-05
"[6,3]",0.00112472107616609
"[7,3]",0
"[8,3]",0
"[9,3]",1.4674405509596
"[10,3]",0.00098833789612221
"[11,3]",0
"[12,3]",0.0626019775609687
"[13,3]",0.0167025433599018
"[14,3]",0.000572192985702052
"[15,3]",0.444713260756979
"[16,3]",0.000778270125962788
"[17,3]",8.31271128871197
"[18,3]",0.000438785468289218
"[19,3]",0.00991632837571886
"[20,3]",0
"[21,3]",0.000735931442487245
"[22,3]",23.6981998046711
"[23,3]",0
"[24,3]",0.00148108318615391
"[25,3]",9.72827677068071e-05
"[26,3]",0.000130359826501973
"[27,3]",0
"[28,3]",0
"[29,3]",0.000324654190236527
"[30,3]",0.0969145226917484
"[31,3]",0.000142145286514959
"[32,3]",0
"[33,3]",0
"[34,3]",0
"[35,3]",0
"[36,3]",0.000177423381518291
"[37,3]",0.000261450230601707
"[38,3]",0.000687190158018484
"[40,3]",0.000564118933215422
"[41,3]",0
"[42,3]",0.000558292403083711
"[43,3]",0.000974184803967123
"[44,3]",0
"[45,3]",0.000860613716556706
"[46,3]",0.000422304037165088
"[47,3]",0.00056637865382759
"[3,4]",0.0831127930204403
"[4,4]",0.00776643782295389
"[5,4]",0
"[6,4]",0.131736306785792
"[7,4]",0
"[8,4]",0.0403954571271946
"[9,4]",5.7391323447831
"[10,4]",0.203958851920485
"[11,4]",0.224429275889455
"[12,4]",0.542663663205444
"[13,4]",0
"[14,4]",0
"[15,4]",1.78164881282969
"[16,4]",0.288748500260571
"[17,4]",24.2014175264922
"[18,4]",0
"[19,4]",0.106708021378633
"[20,4]",0.212712089265825
"[21,4]",0.111058772604375
"[22,4]",47.0152098355072
"[23,4]",0.496195569032779
"[24,4]",0
"[25,4]",0
"[26,4]",0
"[27,4]",0.0325292387354127
"[28,4]",0.121516506791011
"[29,4]",0.0659664023449539
"[30,4]",0.561426106233237
"[31,4]",0
"[32,4]",0.0857723709419583
"[33,4]",0.0108376397674064
"[34,4]",0.18846589257993
"[35,4]",0
"[36,4]",0.102527418102218
"[37,4]",9.13055007027482e-05
"[38,4]",0.0742199450671125
"[40,4]",0.00250924171346453
"[41,4]",0.0852327752826251
"[42,4]",0.24614446292331
"[43,4]",0
"[44,4]",0
"[45,4]",0
"[46,4]",0
"[47,4]",0.183534215465986
"[3,5]",0
"[4,5]",0
"[5,5]",0.242140215645084
"[6,5]",0.246063069164757
"[7,5]",0
"[8,5]",0
"[9,5]",14.6240553572932
"[10,5]",0
"[11,5]",0
"[12,5]",1.92434450892936
"[13,5]",0.465893766972933
"[14,5]",0.101300298293557
"[15,5]",4.89284849768562
"[16,5]",0
"[17,5]",50.4688307319685
"[18,5]",0.459835714234372
"[19,5]",0.496131941827752
"[20,5]",0
"[21,5]",0.159681016568483
"[22,5]",77.6061556174582
"[23,5]",0.242324292343616
"[24,5]",0.166467340704562
"[25,5]",0
"[26,5]",0
"[27,5]",0.438691230580449
"[28,5]",0.23206985256676
"[29,5]",0
"[30,5]",1.44234816958837
"[31,5]",0.0520510181379324
"[32,5]",0.244435597187108
"[33,5]",0.0740004022721348
"[34,5]",0
"[35,5]",0.481907528588586
"[36,5]",0
"[37,5]",0.251858413394755
"[38,5]",0
"[40,5]",0.373351304446875
"[41,5]",0
"[42,5]",0.0597642081463354
"[43,5]",0.246290978969855
"[44,5]",0.065563739630096
"[45,5]",0.0719845297999912
"[46,5]",0.0834950843560676
"[47,5]",0.333813864295105
"[3,6]",0
"[4,6]",0
"[5,6]",0.226286763986766
"[6,6]",0
"[7,6]",0
"[8,6]",0.0163579988029153
"[9,6]",29.9978522652631
"[10,6]",0.125168632904222
"[11,6]",0.0803200783449155
"[12,6]",5.11136716462687
"[13,6]",2.65402233937352
"[14,6]",0
"[15,6]",11.053624072459
"[16,6]",0.284669725894436
"[17,6]",85.4539081294284
"[18,6]",0
"[19,6]",1.60391248192217
"[20,6]",0
"[21,6]",0.0931891674852913
"[22,6]",109.23016800724
"[23,6]",0
"[24,6]",0
"[25,6]",0.0991258793106786
"[26,6]",0
"[27,6]",0
"[28,6]",0
"[29,6]",0.295586537249339
"[30,6]",3.19449062299052
"[31,6]",0.0918658366702373
"[32,6]",0.300025949052645
"[33,6]",0.169800583238125
"[34,6]",0.168244897098227
"[35,6]",0.158969521273575
"[36,6]",0.0410627094309065
"[37,6]",0
"[40,6]",0
"[41,6]",0.0867309726886509
"[42,6]",0.337547678294224
"[43,6]",0
"[44,6]",0
"[45,6]",0.0201879520515752
"[46,6]",0.124417207162707
"[47,6]",0.0198768382235375
"[3,7]",0
"[4,7]",0.828230730914244
"[5,7]",0.697595172718803
"[6,7]",0.663383546007367
"[7,7]",0
"[8,7]",1.49592288081838
"[9,7]",51.5558894516129
"[10,7]",0.428087912231053
"[11,7]",2.13037564263287
"[12,7]",13.1514948611861
"[13,7]",7.25925453356566
"[14,7]",0.026537259150309
"[15,7]",21.0441112207648
"[16,7]",0
"[18,7]",1.23884295722827
"[19,7]",1.08383882009103
"[20,7]",1.54420159951622
"[21,7]",0.107260868366407
"[22,7]",146.091657228019
"[23,7]",0
"[25,7]",0
"[26,7]",0
"[27,7]",0.971732236014944
"[28,7]",0.60999614970932
"[29,7]",1.40215566115972
"[30,7]",6.33081376756524
"[31,7]",0.462043407705867
"[32,7]",0
"[33,7]",0
"[34,7]",0.412416264095687
"[35,7]",0.994967333880928
"[36,7]",1.93709163562116
"[37,7]",0
"[44,7]",0
"[45,7]",1.03978593419813
"[46,7]",0
"[47,7]",0
"[3,8]",0.0486708137454116
"[4,8]",0
"[5,8]",0
"[6,8]",1.55736369838323
"[8,8]",0
"[10,8]",0
"[11,8]",0
"[12,8]",21.0321707843225
"[13,8]",18.2168741446908
"[14,8]",0
"[16,8]",0
"[19,8]",7.57378858765685
"[20,8]",0
"[21,8]",1.96110110719128
"[22,8]",178.888931960982
"[23,8]",1.80247964272469
"[26,8]",0.219704903839205
"[27,8]",0.377733520644069
"[28,8]",1.69482747951117
"[29,8]",0.445123554456676
"[30,8]",13.3363177987903
"[31,8]",0.153702473289358
"[32,8]",0
"[33,8]",0
"[34,8]",0.773283321479337
"[35,8]",0
"[36,8]",1.10922512192387
"[44,8]",1.22438934465023
"[45,8]",0
"[46,8]",0
"[47,8]",1.65562114409956
"[3,9]",1.31750402847612
"[4,9]",0
"[5,9]",0
"[6,9]",0.837542275743062
"[10,9]",1.33390203693111
"[11,9]",1.08878862012421
"[13,9]",28.7598677100027
"[16,9]",1.72866216849333
"[20,9]",0.752742599244125
"[21,9]",0.580433170883526
"[26,9]",3.20503636733829
"[27,9]",0
"[28,9]",0.394694086997458
"[30,9]",15.1408732300402
