"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,60,0
"28-May",,0,0,56,0
"29-May",,0,0,0,0
"30-May",,0,0,21,0
"31-May",,0,0,35,0
"1-Jun",,0,0,21,0
"2-Jun",,0,0,95,0
"3-Jun",,0,0,111,0
"4-Jun",,5,0,159,0
"5-Jun",0,,,,0
"6-Jun",0,,,,0
"7-Jun",4,,,,0
"8-Jun",4,,,,0
"9-Jun",3,,,,0
"10-Jun",0,,,,0
"11-Jun",0,,,,0
"12-Jun",0,,,,0
"13-Jun",1,,,,0
"14-Jun",1,,,,0
"15-Jun",1,,,,0
"16-Jun",53,,,,0
"17-Jun",11,,,,0
"18-Jun",7,,,,0
"19-Jun",6,,,,0
"20-Jun",11,,,,0
"21-Jun",6,,,,0
"22-Jun",10,,,,0
"23-Jun",25,,,,0
"24-Jun",9,,,,0
"25-Jun",17,,,,0
"26-Jun",16,,,,0
"27-Jun",1,,,,0
"28-Jun",101,,,,0
"29-Jun",4512,,,,0
"30-Jun",457,,,,0
"1-Jul",0,,,,0
"2-Jul",10,,,,0
"3-Jul",48,,,,1
"4-Jul",86,,,,1
"5-Jul",182,,,,2
"6-Jul",115,,,,4
"7-Jul",47,,,,7
"8-Jul",75,,,,12
"9-Jul",63,,,,19
"10-Jul",74,,,,29
"11-Jul",135,,,,43
"12-Jul",58,,,,62
"13-Jul",11,,,,87
"14-Jul",66,,,,120
"15-Jul",49,,,,162
"16-Jul",126,,,,214
"17-Jul",98,,,,276
"18-Jul",167,,,,349
"19-Jul",126,,,,434
"20-Jul",178,,,,530
"21-Jul",156,,,,637
"22-Jul",432,,,,754
"23-Jul",773,,,,878
"24-Jul",176,,,,1008
"25-Jul",291,,,,1142
"26-Jul",1231,,,,1277
"27-Jul",542,,,,1411
"28-Jul",1325,,,,1540
"29-Jul",3120,,,,1662
"30-Jul",3817,,,,1774
"31-Jul",3552,,,,1874
"1-Aug",3120,,,,1961
"2-Aug",1202,,,,2033
"3-Aug",3642,,,,2088
"4-Aug",1158,,,,2126
"5-Aug",1403,,,,2147
"6-Aug",1622,,,,2151
"7-Aug",946,,,,2138
"8-Aug",1256,,,,2110
"9-Aug",1815,,,,2068
"10-Aug",1632,,,,2014
"11-Aug",2422,,,,1947
"12-Aug",1559,,,,1872
"13-Aug",1623,,,,1789
"14-Aug",1905,,,,1699
"15-Aug",1504,,,,1605
"16-Aug",2411,,,,1509
"17-Aug",1077,,,,1410
"18-Aug",807,,,,1312
"19-Aug",3207,,,,1215
"20-Aug",1055,,,,1120
"21-Aug",649,,,,1028
"22-Aug",439,,,,939
"23-Aug",468,,,,855
"24-Aug",388,,,,775
"25-Aug",254,,,,700
"26-Aug",702,,,,630
"27-Aug",580,,,,565
"28-Aug",1003,,,,505
"29-Aug",881,,,,450
"30-Aug",611,,,,399
"31-Aug",401,,,,353
"1-Sep",312,,,,312
"2-Sep",676,,,,274
"3-Sep",658,,,,241
"4-Sep",574,,,,211
"5-Sep",238,,,,184
"6-Sep",186,,,,160
"7-Sep",173,,,,139
"8-Sep",316,,,,121
"9-Sep",356,,,,104
"10-Sep",263,,,,90
"11-Sep",320,,,,78
"12-Sep",129,,,,67
"13-Sep",103,,,,57
"14-Sep",59,,,,49
"15-Sep",127,,,,42
"16-Sep",117,,,,36
"17-Sep",105,,,,30
"18-Sep",37,,,,26
"19-Sep",20,,,,22
"20-Sep",56,,,,19
"21-Sep",18,,,,16
"22-Sep",21,,,,13
"23-Sep",17,,,,11
"24-Sep",34,,,,9
"25-Sep",20,,,,8
"26-Sep",27,,,,7
"27-Sep",13,,,,6
"28-Sep",13,,,,5
"29-Sep",2,,,,4
"30-Sep",6,,,,3
"1-Oct",6,,,,3
"2-Oct",5,,,,2
"3-Oct",1,,,,2
"4-Oct",5,,,,2
"5-Oct",1,,,,1
"6-Oct",,2,0,189,1
"7-Oct",,2,0,73,1
"8-Oct",,4,0,177,1
"9-Oct",,1,0,179,1
"10-Oct",,5,0,183,1
"11-Oct",,1,0,185,0
"12-Oct",,0,0,152,0
"13-Oct",,3,0,188,0
"14-Oct",,0,0,177,0
"15-Oct",,0,0,29,0
"16-Oct",,0,0,175,0
"17-Oct",,4,0,185,0
"18-Oct",,0,0,184,0
"19-Oct",,6,0,185,0
"20-Oct",,1,0,177,0
"21-Oct",,0,0,174,0
"22-Oct",,1,0,187,0
"23-Oct",,0,0,184,0
"24-Oct",,0,0,177,0
"25-Oct",,3,0,177,0
"26-Oct",,0,0,175,0
"27-Oct",,1,0,179,0
"28-Oct",,2,0,171,0
"29-Oct",,0,0,176,0
"30-Oct",,1,0,171,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,23,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,38,0
"5-Nov",,0,0,48,0
"8-Nov",,0,0,32,0
"9-Nov",,0,0,84,0
"10-Nov",,0,0,52,0
"12-Nov",,0,0,63,0
"13-Nov",,0,0,59,0
