"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,61,0
"28-May",,0,0,38,0
"29-May",,0,0,0,0
"30-May",,0,0,23,0
"31-May",,0,0,35,0
"1-Jun",,0,0,20,0
"2-Jun",,1,0,98,0
"3-Jun",,0,0,106,0
"4-Jun",19,,,,0
"5-Jun",22,,,,0
"6-Jun",29,,,,0
"7-Jun",33,,,,0
"8-Jun",15,,,,0
"9-Jun",,5,0,193,0
"10-Jun",45,,,,0
"11-Jun",54,,,,0
"12-Jun",51,,,,0
"13-Jun",131,,,,0
"14-Jun",142,,,,1
"15-Jun",180,,,,1
"16-Jun",297,,,,2
"17-Jun",179,,,,3
"18-Jun",541,,,,5
"19-Jun",,11,0,210,8
"20-Jun",,14,0,214,13
"21-Jun",,22,0,212,18
"22-Jun",,27,0,225,26
"23-Jun",,31,0,230,36
"24-Jun",,53,0,246,49
"25-Jun",,65,0,259,65
"26-Jun",,83,0,289,84
"27-Jun",,103,0,301,107
"28-Jun",114,,,,134
"29-Jun",167,,,,164
"30-Jun",282,,,,199
"1-Jul",254,,,,238
"2-Jul",210,,,,281
"3-Jul",102,,,,327
"4-Jul",128,,,,377
"5-Jul",400,,,,431
"6-Jul",453,,,,487
"7-Jul",628,,,,545
"8-Jul",753,,,,606
"9-Jul",450,,,,668
"10-Jul",476,,,,731
"11-Jul",420,,,,794
"12-Jul",757,,,,857
"13-Jul",813,,,,919
"14-Jul",968,,,,980
"15-Jul",560,,,,1039
"16-Jul",602,,,,1096
"17-Jul",1223,,,,1150
"18-Jul",1834,,,,1202
"19-Jul",1316,,,,1250
"20-Jul",2007,,,,1295
"21-Jul",1774,,,,1336
"22-Jul",1307,,,,1373
"23-Jul",1372,,,,1406
"24-Jul",1114,,,,1434
"25-Jul",1052,,,,1459
"26-Jul",1327,,,,1479
"27-Jul",1650,,,,1495
"28-Jul",2691,,,,1507
"29-Jul",2092,,,,1516
"30-Jul",2065,,,,1520
"31-Jul",1778,,,,1520
"1-Aug",1550,,,,1517
"2-Aug",1416,,,,1511
"3-Aug",860,,,,1501
"4-Aug",769,,,,1488
"5-Aug",845,,,,1473
"6-Aug",2240,,,,1455
"7-Aug",1070,,,,1434
"8-Aug",1552,,,,1412
"9-Aug",1844,,,,1387
"10-Aug",1795,,,,1361
"11-Aug",1144,,,,1333
"12-Aug",896,,,,1304
"13-Aug",787,,,,1274
"14-Aug",1439,,,,1243
"15-Aug",696,,,,1211
"16-Aug",511,,,,1178
"17-Aug",411,,,,1145
"18-Aug",591,,,,1111
"19-Aug",201,,,,1078
"20-Aug",317,,,,1044
"21-Aug",856,,,,1010
"22-Aug",837,,,,977
"23-Aug",554,,,,943
"24-Aug",1922,,,,910
"25-Aug",1502,,,,878
"26-Aug",976,,,,845
"27-Aug",760,,,,814
"28-Aug",756,,,,783
"29-Aug",1134,,,,752
"30-Aug",943,,,,722
"31-Aug",1236,,,,693
"1-Sep",983,,,,665
"2-Sep",794,,,,637
"3-Sep",1274,,,,610
"4-Sep",969,,,,584
"5-Sep",641,,,,559
"6-Sep",791,,,,535
"7-Sep",853,,,,511
"8-Sep",422,,,,488
"9-Sep",365,,,,466
"10-Sep",486,,,,445
"11-Sep",350,,,,424
"12-Sep",156,,,,404
"13-Sep",,386,188,585,385
"14-Sep",,365,169,568,367
"15-Sep",,353,160,536,350
"16-Sep",,336,136,544,333
"17-Sep",,314,116,516,317
"18-Sep",,305,105,502,301
"19-Sep",,289,90,472,286
"20-Sep",,272,85,470,272
"21-Sep",,257,70,453,259
"22-Sep",,243,38,444,246
"23-Sep",,228,44,425,233
"24-Sep",,226,21,422,222
"25-Sep",,214,29,401,210
"26-Sep",,200,10,392,200
"27-Sep",,193,3,380,189
"28-Sep",,181,0,378,180
"29-Sep",,171,0,362,170
"30-Sep",,160,0,357,161
"1-Oct",,151,0,338,153
"2-Oct",,146,0,339,145
"3-Oct",,140,0,316,137
"4-Oct",,129,0,317,130
"5-Oct",,120,0,308,123
"6-Oct",,121,0,305,117
"7-Oct",,111,39,182,110
"8-Oct",,104,0,290,105
"9-Oct",,100,0,281,99
"10-Oct",,92,0,290,94
"11-Oct",,91,0,271,89
"12-Oct",,86,0,218,84
"13-Oct",,81,0,272,79
"14-Oct",,73,0,262,75
"15-Oct",,71,47,98,71
"16-Oct",,71,0,251,67
"17-Oct",,63,0,240,63
"18-Oct",,59,0,249,60
"19-Oct",,56,0,237,57
"20-Oct",,54,0,240,54
"21-Oct",,47,0,228,51
"22-Oct",,48,0,230,48
"23-Oct",,47,0,227,45
"24-Oct",,41,0,210,43
"25-Oct",,35,0,206,40
"26-Oct",,42,0,220,38
"27-Oct",,36,0,207,36
"28-Oct",,35,0,206,34
"29-Oct",,34,0,202,32
"30-Oct",,30,0,208,30
"31-Oct",,29,21,38,29
"1-Nov",,27,0,63,27
"2-Nov",,26,19,35,26
"3-Nov",,24,3,41,24
"5-Nov",,23,0,124,23
"8-Nov",,21,0,56,22
"9-Nov",,20,0,87,20
"10-Nov",,19,0,55,19
"12-Nov",,18,3,32,18
"13-Nov",,17,0,71,17
