"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,57,0
"28-May",6,,,,0
"29-May",0,,,,0
"30-May",0,,,,0
"31-May",0,,,,0
"1-Jun",0,,,,0
"2-Jun",0,,,,0
"3-Jun",0,,,,0
"4-Jun",8,,,,0
"5-Jun",910,,,,3
"6-Jun",1042,,,,21
"7-Jun",4123,,,,93
"8-Jun",2950,,,,304
"9-Jun",310,,,,756
"10-Jun",121,,,,1516
"11-Jun",116,,,,2540
"12-Jun",4648,,,,3666
"13-Jun",6221,,,,4664
"14-Jun",6711,,,,5332
"15-Jun",4219,,,,5566
"16-Jun",5193,,,,5372
"17-Jun",4213,,,,4847
"18-Jun",4546,,,,4124
"19-Jun",2526,,,,3335
"20-Jun",4464,,,,2580
"21-Jun",2198,,,,1920
"22-Jun",216,,,,1381
"23-Jun",756,,,,963
"24-Jun",697,,,,655
"25-Jun",293,,,,435
"26-Jun",4,,,,283
"27-Jun",,178,0,388,181
"28-Jun",1603,,,,113
"29-Jun",600,,,,70
"30-Jun",714,,,,43
"1-Jul",239,,,,26
"2-Jul",201,,,,16
"3-Jul",156,,,,9
"4-Jul",418,,,,5
"5-Jul",1439,,,,3
"6-Jul",933,,,,2
"7-Jul",662,,,,1
"8-Jul",1302,,,,1
"9-Jul",2060,,,,0
"10-Jul",1148,,,,0
"11-Jul",571,,,,0
"12-Jul",71,,,,0
"13-Jul",27,,,,0
"14-Jul",3,,,,0
"15-Jul",8,,,,0
"16-Jul",16,,,,0
"17-Jul",1,,,,0
"18-Jul",6,,,,0
"19-Jul",267,,,,0
"20-Jul",207,,,,0
"21-Jul",112,,,,0
"22-Jul",729,,,,0
"23-Jul",851,,,,0
"24-Jul",1001,,,,0
"25-Jul",318,,,,0
"26-Jul",961,,,,0
"27-Jul",517,,,,0
"28-Jul",1253,,,,0
"29-Jul",3454,,,,0
"30-Jul",1512,,,,0
"31-Jul",1473,,,,0
"1-Aug",1946,,,,0
"2-Aug",512,,,,0
"3-Aug",623,,,,0
"4-Aug",1340,,,,0
"5-Aug",2427,,,,0
"6-Aug",1240,,,,0
"7-Aug",1454,,,,0
"8-Aug",2012,,,,0
"9-Aug",305,,,,0
"10-Aug",1041,,,,0
"11-Aug",524,,,,0
"12-Aug",205,,,,0
"13-Aug",516,,,,0
"14-Aug",387,,,,0
"15-Aug",172,,,,0
"16-Aug",213,,,,0
"17-Aug",189,,,,0
"18-Aug",17,,,,0
"19-Aug",26,,,,0
"20-Aug",15,,,,0
"21-Aug",11,,,,0
"22-Aug",24,,,,0
"23-Aug",90,,,,0
"24-Aug",82,,,,0
"25-Aug",31,,,,0
"26-Aug",108,,,,0
"27-Aug",26,,,,0
"28-Aug",7,,,,0
"29-Aug",222,,,,0
"30-Aug",126,,,,0
"31-Aug",34,,,,0
"1-Sep",14,,,,0
"2-Sep",20,,,,0
"3-Sep",20,,,,0
"4-Sep",9,,,,0
"5-Sep",12,,,,0
"6-Sep",24,,,,0
"7-Sep",6,,,,0
"8-Sep",1,,,,0
"9-Sep",4,,,,0
"10-Sep",7,,,,0
"11-Sep",2,,,,0
"12-Sep",,0,0,184,0
"13-Sep",,3,0,199,0
"14-Sep",,0,0,191,0
"15-Sep",,0,0,192,0
"16-Sep",,0,0,197,0
"17-Sep",,0,0,190,0
"18-Sep",,0,0,184,0
"19-Sep",,1,0,178,0
"20-Sep",,0,0,185,0
"21-Sep",,0,0,189,0
"22-Sep",,0,0,186,0
"23-Sep",,3,0,192,0
"24-Sep",,4,0,194,0
"25-Sep",,0,0,182,0
"26-Sep",,3,0,185,0
"27-Sep",,2,0,180,0
"28-Sep",,0,0,192,0
"29-Sep",,2,0,192,0
"30-Sep",,0,0,193,0
"1-Oct",,0,0,184,0
"2-Oct",,0,0,184,0
"3-Oct",,0,0,180,0
"4-Oct",,0,0,187,0
"5-Oct",,0,0,175,0
"6-Oct",,0,0,193,0
"7-Oct",,0,0,65,0
"8-Oct",,2,0,175,0
"9-Oct",,3,0,176,0
"10-Oct",,7,0,183,0
"11-Oct",,0,0,189,0
"12-Oct",,1,0,156,0
"13-Oct",,0,0,183,0
"14-Oct",,0,0,178,0
"15-Oct",,0,0,26,0
"16-Oct",,0,0,192,0
"17-Oct",,2,0,177,0
"18-Oct",,0,0,188,0
"19-Oct",,0,0,170,0
"20-Oct",,0,0,180,0
"21-Oct",,0,0,177,0
"22-Oct",,0,0,172,0
"23-Oct",,0,0,178,0
"24-Oct",,4,0,176,0
"25-Oct",,0,0,175,0
"26-Oct",,0,0,173,0
"27-Oct",,0,0,184,0
"28-Oct",,1,0,176,0
"29-Oct",,1,0,172,0
"30-Oct",,2,0,173,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,27,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,40,0
"5-Nov",,0,0,59,0
"8-Nov",,0,0,36,0
"9-Nov",,0,0,84,0
"10-Nov",,0,0,54,0
"12-Nov",,0,0,51,0
"13-Nov",,0,0,65,0
