"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,2,0,58,2
"28-May",,12,0,60,12
"29-May",,32,15,63,32
"30-May",,59,26,106,58
"31-May",,90,37,152,89
"1-Jun",,124,76,179,122
"2-Jun",,158,49,269,155
"3-Jun",,191,63,312,188
"4-Jun",7,,,,219
"5-Jun",32,,,,250
"6-Jun",241,,,,278
"7-Jun",593,,,,305
"8-Jun",404,,,,330
"9-Jun",159,,,,353
"10-Jun",33,,,,374
"11-Jun",59,,,,394
"12-Jun",691,,,,412
"13-Jun",750,,,,428
"14-Jun",221,,,,443
"15-Jun",193,,,,457
"16-Jun",471,,,,469
"17-Jun",472,,,,480
"18-Jun",1494,,,,490
"19-Jun",1103,,,,499
"20-Jun",1610,,,,507
"21-Jun",1334,,,,514
"22-Jun",664,,,,520
"23-Jun",468,,,,525
"24-Jun",349,,,,530
"25-Jun",154,,,,534
"26-Jun",146,,,,537
"27-Jun",235,,,,540
"28-Jun",1417,,,,542
"29-Jun",75,,,,544
"30-Jun",229,,,,545
"1-Jul",50,,,,546
"2-Jul",272,,,,546
"3-Jul",226,,,,546
"4-Jul",370,,,,546
"5-Jul",185,,,,545
"6-Jul",128,,,,544
"7-Jul",315,,,,543
"8-Jul",194,,,,542
"9-Jul",1246,,,,540
"10-Jul",327,,,,539
"11-Jul",653,,,,537
"12-Jul",280,,,,534
"13-Jul",211,,,,532
"14-Jul",86,,,,530
"15-Jul",118,,,,527
"16-Jul",376,,,,524
"17-Jul",529,,,,522
"18-Jul",248,,,,519
"19-Jul",872,,,,516
"20-Jul",383,,,,513
"21-Jul",748,,,,509
"22-Jul",502,,,,506
"23-Jul",505,,,,503
"24-Jul",1036,,,,499
"25-Jul",918,,,,496
"26-Jul",713,,,,493
"27-Jul",294,,,,489
"28-Jul",168,,,,486
"29-Jul",386,,,,482
"30-Jul",411,,,,479
"31-Jul",802,,,,475
"1-Aug",851,,,,471
"2-Aug",1007,,,,468
"3-Aug",461,,,,464
"4-Aug",155,,,,461
"5-Aug",464,,,,457
"6-Aug",571,,,,453
"7-Aug",581,,,,450
"8-Aug",706,,,,446
"9-Aug",586,,,,442
"10-Aug",546,,,,439
"11-Aug",311,,,,435
"12-Aug",114,,,,432
"13-Aug",470,,,,428
"14-Aug",462,,,,425
"15-Aug",336,,,,421
"16-Aug",367,,,,417
"17-Aug",244,,,,414
"18-Aug",219,,,,410
"19-Aug",742,,,,407
"20-Aug",1051,,,,404
"21-Aug",660,,,,400
"22-Aug",949,,,,397
"23-Aug",381,,,,393
"24-Aug",308,,,,390
"25-Aug",199,,,,387
"26-Aug",376,,,,383
"27-Aug",315,,,,380
"28-Aug",488,,,,377
"29-Aug",487,,,,373
"30-Aug",707,,,,370
"31-Aug",376,,,,367
"1-Sep",293,,,,364
"2-Sep",330,,,,361
"3-Sep",181,,,,358
"4-Sep",161,,,,355
"5-Sep",58,,,,351
"6-Sep",141,,,,348
"7-Sep",158,,,,345
"8-Sep",133,,,,342
"9-Sep",153,,,,339
"10-Sep",,338,134,540,337
"11-Sep",,335,135,525,334
"12-Sep",,329,140,527,331
"13-Sep",,327,142,527,328
"14-Sep",,324,128,526,325
"15-Sep",,324,135,528,322
"16-Sep",,317,123,504,320
"17-Sep",,318,121,514,317
"18-Sep",,313,100,513,314
"19-Sep",,314,122,501,311
"20-Sep",,311,111,506,309
"21-Sep",,309,102,502,306
"22-Sep",,303,110,507,303
"23-Sep",,303,121,497,301
"24-Sep",,300,106,492,298
"25-Sep",,300,103,492,296
"26-Sep",,291,88,483,293
"27-Sep",,290,103,471,291
"28-Sep",,291,93,484,288
"29-Sep",,286,111,493,286
"30-Sep",,283,96,473,283
"1-Oct",,283,98,462,281
"2-Oct",,275,74,477,279
"3-Oct",,275,84,465,276
"4-Oct",,276,83,464,274
"5-Oct",,270,85,465,272
"6-Oct",,270,89,467,269
"7-Oct",,269,190,346,267
"8-Oct",,268,89,453,265
"9-Oct",,267,79,461,263
"10-Oct",,262,73,449,260
"11-Oct",,259,77,438,258
"12-Oct",,256,106,407,256
"13-Oct",,256,68,442,254
"14-Oct",,255,65,452,252
"15-Oct",,250,202,305,250
"16-Oct",,249,79,425,248
"17-Oct",,249,61,432,246
"18-Oct",,243,57,430,244
"19-Oct",,242,57,419,242
"20-Oct",,238,61,425,240
"21-Oct",,238,60,432,238
"22-Oct",,239,50,417,236
"23-Oct",,234,54,420,234
"24-Oct",,231,51,414,232
"25-Oct",,229,43,402,230
"26-Oct",,228,40,411,228
"27-Oct",,224,42,405,226
"28-Oct",,222,41,405,224
"29-Oct",,227,53,399,223
"30-Oct",,223,42,405,221
"31-Oct",,220,178,268,219
"1-Nov",,218,172,270,217
"2-Nov",,216,175,265,216
"3-Nov",,213,163,272,214
"5-Nov",,212,153,282,212
"8-Nov",,211,164,268,210
"9-Nov",,209,117,295,209
"10-Nov",,208,153,270,207
"12-Nov",,207,136,283,205
"13-Nov",,204,140,271,204
