"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,66,0
"28-May",,0,0,40,0
"29-May",,0,0,1,0
"30-May",,1,0,22,0
"31-May",,1,0,38,1
"1-Jun",,3,0,23,3
"2-Jun",,6,0,102,6
"3-Jun",,13,0,113,10
"4-Jun",,15,0,172,16
"5-Jun",,20,0,211,23
"6-Jun",9,,,,32
"7-Jun",22,,,,42
"8-Jun",47,,,,54
"9-Jun",131,,,,67
"10-Jun",96,,,,82
"11-Jun",112,,,,98
"12-Jun",78,,,,114
"13-Jun",41,,,,132
"14-Jun",62,,,,150
"15-Jun",185,,,,168
"16-Jun",617,,,,187
"17-Jun",186,,,,207
"18-Jun",101,,,,226
"19-Jun",263,,,,246
"20-Jun",588,,,,266
"21-Jun",960,,,,285
"22-Jun",477,,,,304
"23-Jun",401,,,,323
"24-Jun",181,,,,342
"25-Jun",228,,,,361
"26-Jun",301,,,,379
"27-Jun",1052,,,,396
"28-Jun",313,,,,413
"29-Jun",58,,,,430
"30-Jun",54,,,,446
"1-Jul",61,,,,462
"2-Jul",47,,,,476
"3-Jul",291,,,,491
"4-Jul",212,,,,505
"5-Jul",396,,,,518
"6-Jul",597,,,,531
"7-Jul",359,,,,543
"8-Jul",400,,,,554
"9-Jul",708,,,,565
"10-Jul",1133,,,,576
"11-Jul",490,,,,585
"12-Jul",400,,,,595
"13-Jul",286,,,,603
"14-Jul",1255,,,,612
"15-Jul",449,,,,619
"16-Jul",439,,,,626
"17-Jul",403,,,,633
"18-Jul",799,,,,639
"19-Jul",916,,,,645
"20-Jul",1485,,,,650
"21-Jul",618,,,,655
"22-Jul",845,,,,660
"23-Jul",1273,,,,664
"24-Jul",679,,,,667
"25-Jul",1081,,,,671
"26-Jul",909,,,,674
"27-Jul",433,,,,676
"28-Jul",110,,,,678
"29-Jul",164,,,,680
"30-Jul",212,,,,682
"31-Jul",503,,,,683
"1-Aug",724,,,,684
"2-Aug",935,,,,684
"3-Aug",777,,,,685
"4-Aug",138,,,,685
"5-Aug",180,,,,685
"6-Aug",125,,,,684
"7-Aug",226,,,,684
"8-Aug",664,,,,683
"9-Aug",552,,,,682
"10-Aug",430,,,,681
"11-Aug",230,,,,679
"12-Aug",250,,,,678
"13-Aug",358,,,,676
"14-Aug",1072,,,,674
"15-Aug",1074,,,,672
"16-Aug",824,,,,669
"17-Aug",472,,,,667
"18-Aug",605,,,,664
"19-Aug",208,,,,662
"20-Aug",500,,,,659
"21-Aug",588,,,,656
"22-Aug",1604,,,,653
"23-Aug",901,,,,650
"24-Aug",1554,,,,647
"25-Aug",1188,,,,644
"26-Aug",521,,,,640
"27-Aug",916,,,,637
"28-Aug",1019,,,,633
"29-Aug",1115,,,,630
"30-Aug",1214,,,,626
"31-Aug",1050,,,,622
"1-Sep",844,,,,618
"2-Sep",686,,,,614
"3-Sep",408,,,,611
"4-Sep",602,,,,607
"5-Sep",446,,,,603
"6-Sep",358,,,,599
"7-Sep",251,,,,595
"8-Sep",183,,,,590
"9-Sep",193,,,,586
"10-Sep",226,,,,582
"11-Sep",337,,,,578
"12-Sep",114,,,,574
"13-Sep",,568,377,766,570
"14-Sep",,561,373,754,565
"15-Sep",,562,364,761,561
"16-Sep",,553,358,760,557
"17-Sep",,557,353,754,553
"18-Sep",,548,352,741,549
"19-Sep",,545,353,739,544
"20-Sep",,541,360,753,540
"21-Sep",,534,336,727,536
"22-Sep",,533,340,733,531
"23-Sep",,528,331,728,527
"24-Sep",,522,324,722,523
"25-Sep",,514,317,719,519
"26-Sep",,517,316,717,514
"27-Sep",,513,335,707,510
"28-Sep",,508,305,706,506
"29-Sep",,497,301,702,502
"30-Sep",,498,295,697,498
"1-Oct",,495,308,687,493
"2-Oct",,491,290,686,489
"3-Oct",,485,284,693,485
"4-Oct",,484,277,683,481
"5-Oct",,473,290,669,477
"6-Oct",,477,279,678,473
"7-Oct",,467,375,562,469
"8-Oct",,468,273,652,465
"9-Oct",,466,249,655,461
"10-Oct",,453,250,651,457
"11-Oct",,453,261,655,453
"12-Oct",,448,287,608,449
"13-Oct",,440,249,660,445
"14-Oct",,442,240,641,441
"15-Oct",,434,361,520,437
"16-Oct",,429,230,626,433
"17-Oct",,430,234,628,429
"18-Oct",,427,213,629,425
"19-Oct",,421,214,623,421
"20-Oct",,413,223,608,417
"21-Oct",,414,211,606,414
"22-Oct",,409,218,605,410
"23-Oct",,411,210,599,406
"24-Oct",,403,215,595,403
"25-Oct",,398,204,595,399
"26-Oct",,395,208,597,395
"27-Oct",,395,197,589,392
"28-Oct",,385,195,578,388
"29-Oct",,386,197,578,384
"30-Oct",,379,185,572,381
"31-Oct",,376,304,466,377
"1-Nov",,374,294,469,374
"2-Nov",,369,296,460,371
"3-Nov",,365,289,460,367
"5-Nov",,364,252,490,364
"8-Nov",,359,276,457,360
"9-Nov",,355,265,465,357
"10-Nov",,352,272,452,354
"12-Nov",,349,272,443,350
"13-Nov",,347,261,448,347
