"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,59,0
"28-May",,0,0,48,0
"29-May",,0,0,0,0
"30-May",,0,0,22,0
"31-May",,0,0,34,0
"1-Jun",,0,0,20,0
"2-Jun",,2,0,94,0
"3-Jun",,1,0,121,0
"4-Jun",170,,,,0
"5-Jun",114,,,,0
"6-Jun",51,,,,0
"7-Jun",58,,,,0
"8-Jun",63,,,,0
"9-Jun",43,,,,0
"10-Jun",72,,,,0
"11-Jun",36,,,,0
"12-Jun",127,,,,0
"13-Jun",1328,,,,0
"14-Jun",1065,,,,0
"15-Jun",1036,,,,0
"16-Jun",488,,,,0
"17-Jun",186,,,,0
"18-Jun",28,,,,0
"19-Jun",1011,,,,1
"20-Jun",180,,,,227
"21-Jun",6031,,,,5754
"22-Jun",12106,,,,11108
"23-Jun",1636,,,,2154
"24-Jun",308,,,,53
"25-Jun",354,,,,0
"26-Jun",810,,,,0
"27-Jun",384,,,,0
"28-Jun",162,,,,0
"29-Jun",513,,,,0
"30-Jun",36,,,,0
"1-Jul",207,,,,0
"2-Jul",334,,,,0
"3-Jul",124,,,,0
"4-Jul",224,,,,0
"5-Jul",159,,,,0
"6-Jul",43,,,,0
"7-Jul",45,,,,0
"8-Jul",80,,,,0
"9-Jul",175,,,,0
"10-Jul",134,,,,0
"11-Jul",42,,,,0
"12-Jul",19,,,,0
"13-Jul",13,,,,0
"14-Jul",106,,,,0
"15-Jul",424,,,,0
"16-Jul",565,,,,0
"17-Jul",240,,,,0
"18-Jul",263,,,,0
"19-Jul",538,,,,0
"20-Jul",215,,,,0
"21-Jul",115,,,,0
"22-Jul",186,,,,0
"23-Jul",178,,,,0
"24-Jul",903,,,,0
"25-Jul",537,,,,0
"26-Jul",204,,,,0
"27-Jul",234,,,,0
"28-Jul",304,,,,0
"29-Jul",582,,,,0
"30-Jul",679,,,,0
"31-Jul",662,,,,0
"1-Aug",1123,,,,0
"2-Aug",118,,,,0
"3-Aug",186,,,,0
"4-Aug",350,,,,0
"5-Aug",496,,,,0
"6-Aug",521,,,,0
"7-Aug",116,,,,0
"8-Aug",631,,,,0
"9-Aug",946,,,,0
"10-Aug",1301,,,,0
"11-Aug",511,,,,0
"12-Aug",287,,,,0
"13-Aug",306,,,,0
"14-Aug",534,,,,0
"15-Aug",462,,,,0
"16-Aug",368,,,,0
"17-Aug",175,,,,0
"18-Aug",281,,,,0
"19-Aug",31,,,,0
"20-Aug",95,,,,0
"21-Aug",1235,,,,0
"22-Aug",356,,,,0
"23-Aug",164,,,,0
"24-Aug",186,,,,0
"25-Aug",251,,,,0
"26-Aug",506,,,,0
"27-Aug",240,,,,0
"28-Aug",709,,,,0
"29-Aug",716,,,,0
"30-Aug",423,,,,0
"31-Aug",297,,,,0
"1-Sep",452,,,,0
"2-Sep",230,,,,0
"3-Sep",502,,,,0
"4-Sep",571,,,,0
"5-Sep",207,,,,0
"6-Sep",201,,,,0
"7-Sep",101,,,,0
"8-Sep",122,,,,0
"9-Sep",136,,,,0
"10-Sep",92,,,,0
"11-Sep",123,,,,0
"12-Sep",133,,,,0
"13-Sep",151,,,,0
"14-Sep",157,,,,0
"15-Sep",133,,,,0
"16-Sep",87,,,,0
"17-Sep",59,,,,0
"18-Sep",31,,,,0
"19-Sep",15,,,,0
"20-Sep",23,,,,0
"21-Sep",19,,,,0
"22-Sep",75,,,,0
"23-Sep",10,,,,0
"24-Sep",25,,,,0
"25-Sep",29,,,,0
"26-Sep",24,,,,0
"27-Sep",28,,,,0
"28-Sep",40,,,,0
"29-Sep",56,,,,0
"30-Sep",14,,,,0
"1-Oct",26,,,,0
"2-Oct",8,,,,0
"3-Oct",23,,,,0
"4-Oct",12,,,,0
"5-Oct",10,,,,0
"6-Oct",4,,,,0
"7-Oct",37,,,,0
"8-Oct",3,,,,0
"9-Oct",26,,,,0
"10-Oct",7,,,,0
"11-Oct",27,,,,0
"12-Oct",7,,,,0
"13-Oct",3,,,,0
"14-Oct",3,,,,0
"15-Oct",1,,,,0
"16-Oct",1,,,,0
"17-Oct",5,,,,0
"18-Oct",,1,0,187,0
"19-Oct",,0,0,187,0
"20-Oct",,0,0,180,0
"21-Oct",0,,,,0
"22-Oct",,0,0,185,0
"23-Oct",0,,,,0
"24-Oct",0,,,,0
"25-Oct",0,,,,0
"26-Oct",,0,0,175,0
"27-Oct",0,,,,0
"28-Oct",0,,,,0
"29-Oct",0,,,,0
"30-Oct",0,,,,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,24,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,36,0
"5-Nov",,0,0,51,0
"8-Nov",,0,0,32,0
"9-Nov",,0,0,75,0
"10-Nov",,0,0,45,0
"12-Nov",,0,0,62,0
"13-Nov",,0,0,57,0
