"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,58,0
"28-May",,0,0,45,0
"29-May",,0,0,0,0
"30-May",,0,0,22,0
"31-May",,0,0,37,0
"1-Jun",,0,0,19,0
"2-Jun",,0,0,105,0
"3-Jun",,2,0,107,0
"4-Jun",,3,0,154,0
"5-Jun",,0,0,205,0
"6-Jun",0,,,,0
"7-Jun",0,,,,0
"8-Jun",2,,,,0
"9-Jun",10,,,,0
"10-Jun",12,,,,0
"11-Jun",13,,,,0
"12-Jun",29,,,,0
"13-Jun",22,,,,0
"14-Jun",35,,,,0
"15-Jun",13,,,,0
"16-Jun",46,,,,0
"17-Jun",84,,,,1
"18-Jun",59,,,,2
"19-Jun",30,,,,3
"20-Jun",79,,,,5
"21-Jun",23,,,,8
"22-Jun",64,,,,13
"23-Jun",67,,,,20
"24-Jun",32,,,,30
"25-Jun",,44,0,242,43
"26-Jun",,64,0,268,59
"27-Jun",,79,0,274,81
"28-Jun",,107,0,302,108
"29-Jun",,140,0,343,140
"30-Jun",,179,0,373,179
"1-Jul",,227,20,420,225
"2-Jul",,278,95,478,278
"3-Jul",,337,140,537,338
"4-Jul",37,,,,405
"5-Jul",94,,,,480
"6-Jul",324,,,,561
"7-Jul",1143,,,,648
"8-Jul",338,,,,741
"9-Jul",237,,,,838
"10-Jul",171,,,,939
"11-Jul",94,,,,1043
"12-Jul",162,,,,1148
"13-Jul",587,,,,1255
"14-Jul",813,,,,1360
"15-Jul",373,,,,1464
"16-Jul",1667,,,,1565
"17-Jul",4180,,,,1663
"18-Jul",2518,,,,1756
"19-Jul",811,,,,1843
"20-Jul",725,,,,1925
"21-Jul",1821,,,,2000
"22-Jul",3899,,,,2067
"23-Jul",2673,,,,2127
"24-Jul",3838,,,,2179
"25-Jul",2914,,,,2223
"26-Jul",3415,,,,2258
"27-Jul",2407,,,,2286
"28-Jul",1351,,,,2305
"29-Jul",1251,,,,2317
"30-Jul",6417,,,,2320
"31-Jul",4218,,,,2317
"1-Aug",3090,,,,2306
"2-Aug",2622,,,,2289
"3-Aug",1129,,,,2266
"4-Aug",1905,,,,2237
"5-Aug",1683,,,,2203
"6-Aug",713,,,,2164
"7-Aug",300,,,,2121
"8-Aug",271,,,,2075
"9-Aug",748,,,,2025
"10-Aug",817,,,,1972
"11-Aug",948,,,,1916
"12-Aug",1526,,,,1859
"13-Aug",,1800,1601,1989,1801
"14-Aug",,1743,1541,1934,1741
"15-Aug",,1681,1485,1868,1680
"16-Aug",277,,,,1619
"17-Aug",200,,,,1558
"18-Aug",1074,,,,1497
"19-Aug",1435,,,,1436
"20-Aug",756,,,,1376
"21-Aug",811,,,,1316
"22-Aug",1723,,,,1258
"23-Aug",3524,,,,1201
"24-Aug",1405,,,,1145
"25-Aug",1109,,,,1090
"26-Aug",4125,,,,1037
"27-Aug",1370,,,,986
"28-Aug",1285,,,,936
"29-Aug",2719,,,,888
"30-Aug",1059,,,,841
"31-Aug",605,,,,796
"1-Sep",995,,,,753
"2-Sep",537,,,,712
"3-Sep",901,,,,672
"4-Sep",735,,,,635
"5-Sep",1547,,,,598
"6-Sep",1230,,,,564
"7-Sep",552,,,,531
"8-Sep",364,,,,500
"9-Sep",415,,,,470
"10-Sep",178,,,,442
"11-Sep",160,,,,415
"12-Sep",,386,190,584,390
"13-Sep",,366,168,567,366
"14-Sep",,347,156,544,343
"15-Sep",,323,126,518,322
"16-Sep",,304,109,498,301
"17-Sep",,285,94,485,282
"18-Sep",,262,80,460,264
"19-Sep",,248,48,444,247
"20-Sep",,231,47,427,231
"21-Sep",,221,25,417,216
"22-Sep",,203,11,388,202
"23-Sep",,190,2,384,189
"24-Sep",,180,0,365,176
"25-Sep",,170,0,360,164
"26-Sep",,153,0,348,153
"27-Sep",,138,0,320,143
"28-Sep",,133,0,328,134
"29-Sep",,124,0,307,125
"30-Sep",,119,0,315,116
"1-Oct",,111,0,289,108
"2-Oct",,99,0,282,101
"3-Oct",,98,0,279,94
"4-Oct",,90,0,285,87
"5-Oct",,85,0,268,81
"6-Oct",,77,0,263,76
"7-Oct",,71,4,142,70
"8-Oct",,66,0,250,66
"9-Oct",,66,0,236,61
"10-Oct",,56,0,240,57
"11-Oct",,52,0,238,53
"12-Oct",,50,0,186,49
"13-Oct",,47,0,230,46
"14-Oct",,42,0,222,42
"15-Oct",,40,12,70,39
"16-Oct",,41,0,216,37
"17-Oct",,31,0,217,34
"18-Oct",,36,0,214,32
"19-Oct",,26,0,205,29
"20-Oct",,25,0,207,27
"21-Oct",,27,0,211,25
"22-Oct",,23,0,209,23
"23-Oct",,25,0,208,22
"24-Oct",,21,0,205,20
"25-Oct",,24,0,196,19
"26-Oct",,17,0,194,17
"27-Oct",,14,0,193,16
"28-Oct",,17,0,190,15
"29-Oct",,17,0,198,14
"30-Oct",,15,0,190,13
"31-Oct",,12,9,16,12
"1-Nov",,11,0,36,11
"2-Nov",,10,8,14,10
"3-Nov",,10,0,47,10
"5-Nov",,9,0,56,9
"8-Nov",,8,0,38,8
"9-Nov",,8,0,83,8
"10-Nov",,7,0,62,7
"12-Nov",,7,0,64,7
"13-Nov",,6,0,54,6
