"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,67,0
"28-May",,0,0,39,0
"29-May",,0,0,0,0
"30-May",,0,0,22,0
"31-May",,0,0,39,0
"1-Jun",,0,0,20,0
"2-Jun",,0,0,96,0
"3-Jun",,0,0,119,0
"4-Jun",0,,,,0
"5-Jun",7,,,,0
"6-Jun",31,,,,1
"7-Jun",27,,,,2
"8-Jun",40,,,,3
"9-Jun",37,,,,5
"10-Jun",105,,,,8
"11-Jun",84,,,,12
"12-Jun",133,,,,18
"13-Jun",107,,,,25
"14-Jun",86,,,,35
"15-Jun",138,,,,47
"16-Jun",44,,,,61
"17-Jun",52,,,,78
"18-Jun",75,,,,97
"19-Jun",50,,,,119
"20-Jun",371,,,,145
"21-Jun",278,,,,172
"22-Jun",113,,,,203
"23-Jun",182,,,,236
"24-Jun",289,,,,271
"25-Jun",514,,,,309
"26-Jun",1524,,,,349
"27-Jun",705,,,,390
"28-Jun",440,,,,433
"29-Jun",189,,,,478
"30-Jun",170,,,,523
"1-Jul",259,,,,569
"2-Jul",219,,,,616
"3-Jul",1247,,,,663
"4-Jul",1001,,,,710
"5-Jul",1100,,,,757
"6-Jul",833,,,,804
"7-Jul",986,,,,850
"8-Jul",1014,,,,895
"9-Jul",469,,,,939
"10-Jul",707,,,,982
"11-Jul",586,,,,1024
"12-Jul",974,,,,1064
"13-Jul",672,,,,1103
"14-Jul",1802,,,,1140
"15-Jul",1440,,,,1176
"16-Jul",1716,,,,1209
"17-Jul",1502,,,,1241
"18-Jul",1023,,,,1271
"19-Jul",1128,,,,1299
"20-Jul",1158,,,,1325
"21-Jul",1058,,,,1349
"22-Jul",1220,,,,1371
"23-Jul",1108,,,,1392
"24-Jul",975,,,,1410
"25-Jul",759,,,,1427
"26-Jul",740,,,,1441
"27-Jul",1120,,,,1454
"28-Jul",1145,,,,1465
"29-Jul",963,,,,1474
"30-Jul",1301,,,,1482
"31-Jul",2404,,,,1487
"1-Aug",1813,,,,1492
"2-Aug",1517,,,,1495
"3-Aug",2450,,,,1496
"4-Aug",1300,,,,1496
"5-Aug",718,,,,1494
"6-Aug",1686,,,,1491
"7-Aug",3040,,,,1487
"8-Aug",3212,,,,1482
"9-Aug",2242,,,,1476
"10-Aug",616,,,,1469
"11-Aug",1360,,,,1460
"12-Aug",816,,,,1451
"13-Aug",1209,,,,1441
"14-Aug",691,,,,1430
"15-Aug",546,,,,1418
"16-Aug",1293,,,,1406
"17-Aug",1009,,,,1392
"18-Aug",933,,,,1379
"19-Aug",1151,,,,1364
"20-Aug",1041,,,,1349
"21-Aug",2601,,,,1334
"22-Aug",2176,,,,1318
"23-Aug",1432,,,,1302
"24-Aug",1835,,,,1286
"25-Aug",943,,,,1269
"26-Aug",1858,,,,1252
"27-Aug",2210,,,,1235
"28-Aug",1556,,,,1217
"29-Aug",1426,,,,1199
"30-Aug",1233,,,,1182
"31-Aug",2014,,,,1164
"1-Sep",426,,,,1146
"2-Sep",918,,,,1127
"3-Sep",804,,,,1109
"4-Sep",313,,,,1091
"5-Sep",840,,,,1073
"6-Sep",1296,,,,1055
"7-Sep",877,,,,1037
"8-Sep",590,,,,1019
"9-Sep",781,,,,1001
"10-Sep",1060,,,,983
"11-Sep",747,,,,965
"12-Sep",661,,,,947
"13-Sep",543,,,,930
"14-Sep",,910,716,1106,913
"15-Sep",,893,696,1095,895
"16-Sep",,880,688,1088,878
"17-Sep",,860,668,1055,861
"18-Sep",,844,644,1048,845
"19-Sep",,827,628,1010,828
"20-Sep",,810,615,1008,812
"21-Sep",,794,600,993,796
"22-Sep",,775,576,973,780
"23-Sep",,761,580,958,764
"24-Sep",,748,548,944,748
"25-Sep",,731,537,925,733
"26-Sep",,715,524,922,718
"27-Sep",,704,512,900,703
"28-Sep",,689,502,870,689
"29-Sep",,672,478,869,674
"30-Sep",,661,467,841,660
"1-Oct",,648,455,827,646
"2-Oct",,631,428,819,632
"3-Oct",,618,423,818,619
"4-Oct",,602,411,793,605
"5-Oct",,591,400,778,592
"6-Oct",,584,391,766,580
"7-Oct",,567,485,649,567
"8-Oct",,555,372,730,555
"9-Oct",,543,361,726,542
"10-Oct",,529,337,731,531
"11-Oct",,514,323,698,519
"12-Oct",,505,349,664,507
"13-Oct",,494,307,692,496
"14-Oct",,482,294,676,485
"15-Oct",,474,417,531,474
"16-Oct",,465,274,642,464
"17-Oct",,447,260,645,453
"18-Oct",,445,245,636,443
"19-Oct",,429,244,620,433
"20-Oct",,419,235,608,423
"21-Oct",,415,226,598,414
"22-Oct",,405,204,591,404
"23-Oct",,401,210,582,395
"24-Oct",,382,211,575,386
"25-Oct",,377,208,547,377
"26-Oct",,368,185,552,369
"27-Oct",,357,172,544,360
"28-Oct",,352,176,540,352
"29-Oct",,340,158,527,344
"30-Oct",,338,165,522,336
"31-Oct",,328,283,377,328
"1-Nov",,320,266,377,321
"2-Nov",,313,269,362,313
"3-Nov",,306,260,357,306
"5-Nov",,299,191,399,299
"8-Nov",,292,235,348,292
"9-Nov",,284,220,354,285
"10-Nov",,278,226,335,279
"12-Nov",,271,229,320,272
"13-Nov",,265,210,323,266
