"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,62,0
"28-May",,0,0,40,0
"29-May",,0,0,0,0
"30-May",,0,0,20,0
"31-May",,0,0,38,0
"1-Jun",,0,0,18,0
"2-Jun",0,,,,0
"3-Jun",0,,,,0
"4-Jun",0,,,,0
"5-Jun",1,,,,0
"6-Jun",2,,,,0
"7-Jun",0,,,,0
"8-Jun",1,,,,0
"9-Jun",0,,,,0
"10-Jun",0,,,,0
"11-Jun",0,,,,0
"12-Jun",0,,,,0
"13-Jun",1,,,,0
"14-Jun",23,,,,0
"15-Jun",2,,,,0
"16-Jun",0,,,,0
"17-Jun",38,,,,0
"18-Jun",19,,,,0
"19-Jun",53,,,,0
"20-Jun",104,,,,0
"21-Jun",40,,,,0
"22-Jun",27,,,,0
"23-Jun",49,,,,0
"24-Jun",252,,,,0
"25-Jun",54,,,,0
"26-Jun",58,,,,0
"27-Jun",435,,,,0
"28-Jun",319,,,,0
"29-Jun",179,,,,0
"30-Jun",221,,,,0
"1-Jul",209,,,,0
"2-Jul",245,,,,0
"3-Jul",593,,,,0
"4-Jul",330,,,,0
"5-Jul",339,,,,0
"6-Jul",270,,,,0
"7-Jul",373,,,,0
"8-Jul",178,,,,2
"9-Jul",541,,,,5
"10-Jul",1532,,,,13
"11-Jul",991,,,,33
"12-Jul",579,,,,74
"13-Jul",518,,,,152
"14-Jul",1082,,,,290
"15-Jul",540,,,,511
"16-Jul",229,,,,839
"17-Jul",257,,,,1289
"18-Jul",696,,,,1857
"19-Jul",282,,,,2519
"20-Jul",389,,,,3228
"21-Jul",8715,,,,3917
"22-Jul",13041,,,,4515
"23-Jul",1583,,,,4958
"24-Jul",2424,,,,5197
"25-Jul",4740,,,,5213
"26-Jul",4938,,,,5015
"27-Jul",4770,,,,4636
"28-Jul",6472,,,,4126
"29-Jul",5002,,,,3543
"30-Jul",3244,,,,2939
"31-Jul",1533,,,,2359
"1-Aug",679,,,,1836
"2-Aug",425,,,,1386
"3-Aug",739,,,,1017
"4-Aug",1640,,,,727
"5-Aug",944,,,,506
"6-Aug",1073,,,,343
"7-Aug",642,,,,228
"8-Aug",665,,,,148
"9-Aug",,93,0,287,94
"10-Aug",,55,0,262,58
"11-Aug",83,,,,35
"12-Aug",402,,,,21
"13-Aug",402,,,,12
"14-Aug",584,,,,7
"15-Aug",500,,,,4
"16-Aug",266,,,,2
"17-Aug",922,,,,1
"18-Aug",616,,,,1
"19-Aug",1193,,,,0
"20-Aug",562,,,,0
"21-Aug",343,,,,0
"22-Aug",176,,,,0
"23-Aug",258,,,,0
"24-Aug",1002,,,,0
"25-Aug",198,,,,0
"26-Aug",174,,,,0
"27-Aug",802,,,,0
"28-Aug",120,,,,0
"29-Aug",89,,,,0
"30-Aug",18,,,,0
"31-Aug",34,,,,0
"1-Sep",38,,,,0
"2-Sep",106,,,,0
"3-Sep",46,,,,0
"4-Sep",33,,,,0
"5-Sep",5,,,,0
"6-Sep",76,,,,0
"7-Sep",46,,,,0
"8-Sep",152,,,,0
"9-Sep",,0,0,196,0
"10-Sep",,1,0,202,0
"11-Sep",,1,0,188,0
"12-Sep",,2,0,196,0
"13-Sep",,0,0,197,0
"14-Sep",,3,0,200,0
"15-Sep",,0,0,190,0
"16-Sep",,1,0,202,0
"17-Sep",,0,0,188,0
"18-Sep",,0,0,200,0
"19-Sep",,0,0,193,0
"20-Sep",,0,0,191,0
"21-Sep",,0,0,202,0
"22-Sep",,0,0,185,0
"23-Sep",,0,0,195,0
"24-Sep",,0,0,194,0
"25-Sep",,0,0,190,0
"26-Sep",,1,0,197,0
"27-Sep",,0,0,196,0
"28-Sep",,0,0,182,0
"29-Sep",,0,0,188,0
"30-Sep",,0,0,192,0
"1-Oct",,0,0,179,0
"2-Oct",,3,0,192,0
"3-Oct",,0,0,192,0
"4-Oct",,3,0,190,0
"5-Oct",,1,0,193,0
"6-Oct",,1,0,188,0
"7-Oct",,1,0,64,0
"8-Oct",,0,0,184,0
"9-Oct",,2,0,182,0
"10-Oct",,0,0,184,0
"11-Oct",,3,0,180,0
"12-Oct",,1,0,142,0
"13-Oct",,0,0,172,0
"14-Oct",,0,0,179,0
"15-Oct",,0,0,21,0
"16-Oct",,0,0,176,0
"17-Oct",,0,0,192,0
"18-Oct",,0,0,176,0
"19-Oct",,0,0,175,0
"20-Oct",,1,0,188,0
"21-Oct",,0,0,177,0
"22-Oct",,1,0,189,0
"23-Oct",,2,0,179,0
"24-Oct",,0,0,178,0
"25-Oct",,0,0,171,0
"26-Oct",,1,0,181,0
"27-Oct",,0,0,175,0
"28-Oct",,3,0,172,0
"29-Oct",,0,0,169,0
"30-Oct",,3,0,179,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,31,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,19,0
"5-Nov",,0,0,97,0
"8-Nov",,0,0,48,0
"9-Nov",,0,0,63,0
"10-Nov",,0,0,35,0
"12-Nov",,0,0,14,0
"13-Nov",,0,0,47,0
