year,days,max
1971,five,NA
1971,four,NA
1971,one,NA
1971,three,NA
1971,two,NA
1972,five,NA
1972,four,NA
1972,one,NA
1972,three,NA
1972,two,NA
1973,five,322
1973,four,322
1973,one,322
1973,three,322
1973,two,322
1974,five,322
1974,four,322
1974,one,322
1974,three,322
1974,two,322
1975,five,322
1975,four,322
1975,one,322
1975,three,322
1975,two,322
1976,five,322
1976,four,322
1976,one,322
1976,three,322
1976,two,322
1977,five,322
1977,four,322
1977,one,322
1977,three,322
1977,two,322
1978,five,322
1978,four,322
1978,one,322
1978,three,322
1978,two,322
1979,five,322
1979,four,322
1979,one,322
1979,three,322
1979,two,322
1980,five,NA
1980,four,324
1980,one,322
1980,three,323
1980,two,322
1981,five,322
1981,four,322
1981,one,322
1981,three,322
1981,two,322
1982,five,NA
1982,four,NA
1982,one,NA
1982,three,NA
1982,two,NA
1983,five,322
1983,four,322
1983,one,322
1983,three,322
1983,two,322
1984,five,NA
1984,four,NA
1984,one,NA
1984,three,NA
1984,two,NA
1985,five,322
1985,four,322
1985,one,322
1985,three,322
1985,two,322
1986,five,322
1986,four,322
1986,one,322
1986,three,322
1986,two,322
1987,five,322
1987,four,322
1987,one,322
1987,three,322
1987,two,322
1988,five,322
1988,four,322
1988,one,322
1988,three,322
1988,two,322
1989,five,322
1989,four,322
1989,one,322
1989,three,322
1989,two,322
1990,five,322
1990,four,322
1990,one,322
1990,three,322
1990,two,322
1991,five,322
1991,four,322
1991,one,322
1991,three,322
1991,two,322
1992,five,322
1992,four,322
1992,one,322
1992,three,322
1992,two,322
1993,five,322
1993,four,322
1993,one,322
1993,three,322
1993,two,322
1994,five,NA
1994,four,NA
1994,one,NA
1994,three,NA
1994,two,NA
1995,five,322
1995,four,322
1995,one,322
1995,three,322
1995,two,322
1999,five,NA
1999,four,NA
1999,one,NA
1999,three,NA
1999,two,NA
2000,five,322
2000,four,322
2000,one,322
2000,three,322
2000,two,322
2001,five,322
2001,four,322
2001,one,322
2001,three,322
2001,two,322
2002,five,NA
2002,four,NA
2002,one,NA
2002,three,NA
2002,two,NA
2003,five,NA
2003,four,NA
2003,one,NA
2003,three,NA
2003,two,NA
2004,five,322
2004,four,322
2004,one,322
2004,three,322
2004,two,322
2005,five,322
2005,four,322
2005,one,322
2005,three,322
2005,two,322
2006,five,322
2006,four,322
2006,one,322
2006,three,322
2006,two,322
2007,five,324
2007,four,323
2007,one,322
2007,three,322
2007,two,322
2008,five,323
2008,four,322
2008,one,322
2008,three,322
2008,two,322
2009,five,322
2009,four,322
2009,one,322
2009,three,322
2009,two,322
2010,five,322
2010,four,322
2010,one,322
2010,three,322
2010,two,322
2011,five,322
2011,four,322
2011,one,322
2011,three,322
2011,two,322
2012,five,322
2012,four,322
2012,one,322
2012,three,322
2012,two,322
2013,five,322
2013,four,322
2013,one,322
2013,three,322
2013,two,322
2014,five,322
2014,four,322
2014,one,322
2014,three,322
2014,two,322
2015,five,322
2015,four,322
2015,one,322
2015,three,322
2015,two,322
2016,five,322
2016,four,322
2016,one,322
2016,three,322
2016,two,322
2017,five,322
2017,four,322
2017,one,322
2017,three,322
2017,two,322
2018,five,322
2018,four,322
2018,one,322
2018,three,322
2018,two,322
2019,five,322
2019,four,322
2019,one,322
2019,three,322
2019,two,322
2020,five,322
2020,four,322
2020,one,322
2020,three,322
2020,two,322
2021,five,322
2021,four,322
2021,one,322
2021,three,322
2021,two,322
