year,days,diff
1971,one,NA
1972,one,NA
1973,one,0.024429902307046447
1974,one,0.014242872435179854
1975,one,0.005813274811477087
1976,one,0.005394488240276218
1977,one,0
1978,one,0.01335675682924542
1979,one,0.004820718103932253
1980,one,0.027579732877037855
1981,one,0.012651585264624177
1982,one,NA
1983,one,0.007796832009232313
1984,one,NA
1985,one,0.007819694156363743
1986,one,2.5040691123079384e-4
1987,one,8.092087960998029e-5
1988,one,0.010461734874813833
1989,one,0.016099530851000687
1990,one,0.007019752130131729
1991,one,0.004688792865679914
1992,one,0.022348646159781937
1993,one,0.015553131629760686
1994,one,NA
1995,one,0.0093707986017747
1999,one,NA
2000,one,0.01164090444557997
2001,one,5.376443760544136e-4
2002,one,NA
2003,one,NA
2004,one,0.01258043597545766
2005,one,0.022564037373673185
2006,one,0.002850963429020803
2007,one,0.02660492145646054
2008,one,0.027381769328165606
2009,one,0.005334078898318051
2010,one,0.008297192899276218
2011,one,0.010211410140896549
2012,one,0.0140291137093278
2013,one,0.00829961244728139
2014,one,0.019982047379307644
2015,one,0.025142128994314894
2016,one,0.022647804922640957
2017,one,0.00977006806420333
2018,one,0.020903451047370236
2019,one,0.0012046143816785149
2020,one,0.008722555538645982
2021,one,0.024723702833739925
1971,two,NA
1972,two,NA
1973,two,0.024429902307046447
1974,two,0.014242872435179854
1975,two,0.005813274811477087
1976,two,0.005394488240276218
1977,two,0
1978,two,0.01335675682924542
1979,two,0.004820718103932253
1980,two,0.027579732877037855
1981,two,0.012651585264624177
1982,two,NA
1983,two,0.007796832009232313
1984,two,NA
1985,two,0.007819694156363743
1986,two,2.5040691123079384e-4
1987,two,8.092087960998029e-5
1988,two,0.010461734874813833
1989,two,0.016099530851000687
1990,two,0.007019752130131729
1991,two,0.004688792865679914
1992,two,0.022348646159781937
1993,two,0.015553131629760686
1994,two,NA
1995,two,0.0093707986017747
1999,two,NA
2000,two,0.01164090444557997
2001,two,5.376443760544136e-4
2002,two,NA
2003,two,NA
2004,two,0.01258043597545766
2005,two,0.022564037373673185
2006,two,0.002850963429020803
