year,count,fitted
1971,49342,65639
1972,51860,90319
1973,50527,75031
1974,84456,122377
1975,41520,42833
1976,69729,76745
1977,41044,41384
1978,67528,74569
1979,80588,81938
1980,95347,168312
1981,84097,104809
1982,80221,246265
1983,134022,142109
1984,115269,333194
1985,57649,66243
1986,23947,23961
1987,48861,49431
1988,27662,28198
1989,141475,168390
1990,60230,61968
1991,51138,54385
1992,95879.5,137368.5
1993,212757,283287
1994,80859,170990
1995,59698,74380
1999,129533,177125
2000,47077,62624
2001,51979,53939
2002,65085,107810
2003,52417,164380
2004,75632,100235
2005,30145,47199
2006,37108,40688
2007,21236,33039
2008,71735,103463
2009,153033,182412
2010,61906,71711
2011,63628,76581
2012,107723,159169
2013,110979,140368
2014,70470,102492
2015,135110,265252
2016,85935,131271
2017,88197,110337
2018,108047,159256
2019,134958,141124
2020,50745.5263158,61564.5263158
2021,64998,99621
