year,count,fitted
1988,46404,46404
1989,84383,85276
1990,61375,85463
1991,69737,79449
1992,76733,92742
1993,62110,71759
1994,72474,89389
1995,42463,46723
1996,61269,65246
1997,42050,48230
1998,50546,55299
1999,61544,69528
2000,41554,44755
2001,60334,71009
2002,68773,72192
2003,89720,101570
2004,43278,47768
2005,66476,78252
2006,90351,95803
2007,61799,69526
2008,22520,25614
2009,83959,95535
2010,53499,56721
2011,89943,96210
2012,62459,75595
2013,118767,130462
2014,102994,129974
2015,95093,105905
2016,56738,58364
2017,91092,101083
2018,26704,29282
2019,72530,84373
2020,63343,69200
2021,118209,133024
